['TEAD3'],[[0.43178072]],[[0.32369685]],[[0.9375589]],[[0.95719045]],[[2.54993914]],[[1.24850904]],[[1.21713666]],[[0.47014642]],[[0.44711578]],[[0.6674742]],[[0.27238099]],[[0.96415426]],[[0.98516647]]
['HGF'],[[1.38421348]],[[1.73701888]],[[1.84210486]],[[2.27024215]],[[4.04422829]],[[2.10983205]],[[2.051266]],[[2.20968776]],[[1.69441993]],[[1.26202398]],[[1.33708424]],[[1.127628]],[[1.19912832]]
['IDI1'],[[0.93558914]],[[1.17330125]],[[1.30534558]],[[1.31972918]],[[3.35117421]],[[1.63614686]],[[1.29232352]],[[1.23905159]],[[0.96887849]],[[0.94234865]],[[0.9622716]],[[1.2004294]],[[0.92027145]]
['MKNK1'],[[1.00082958]],[[1.05899951]],[[1.18092704]],[[1.35339285]],[[2.8503276]],[[2.01800806]],[[1.3576558]],[[1.5140808]],[[0.99577199]],[[1.06912653]],[[0.86161462]],[[1.49181559]],[[0.96127834]]
['CEACAM1'],[[1.4378093]],[[1.745501]],[[1.72831937]],[[1.91903115]],[[3.54889327]],[[1.54975248]],[[1.56083355]],[[1.33612234]],[[0.98352775]],[[1.4848979]],[[0.99878049]],[[1.29914656]],[[1.35970114]]
['OSM'],[[1.30633363]],[[1.73509434]],[[2.17809001]],[[2.03160703]],[[3.69305821]],[[2.29817819]],[[1.9380787]],[[1.55371814]],[[1.04278652]],[[1.18563014]],[[0.93154446]],[[1.91478628]],[[1.11165768]]
['RETN'],[[1.30807232]],[[1.65430191]],[[1.71421084]],[[1.97000431]],[[3.36412847]],[[3.46202511]],[[2.45908006]],[[1.71167438]],[[1.5592787]],[[1.43135011]],[[0.80942671]],[[0.79200273]],[[0.74686666]]
['TTC26'],[[0.98642856]],[[0.86816845]],[[0.94615132]],[[1.12783999]],[[3.33040495]],[[1.76889346]],[[1.33682123]],[[1.13447946]],[[0.82775062]],[[1.14623022]],[[0.65373052]],[[1.39747062]],[[1.39086911]]
['GRB10'],[[1.2500949]],[[1.61416685]],[[1.77019222]],[[2.1668865]],[[3.87135926]],[[2.56611481]],[[2.66574645]],[[2.33987345]],[[1.8182046]],[[1.64981389]],[[1.22569694]],[[1.94299389]],[[0.9793508]]
['KLHL2'],[[1.20497477]],[[1.63766651]],[[1.60303313]],[[1.92574172]],[[3.05620304]],[[2.22633178]],[[1.9055689]],[[1.70760704]],[[1.1688313]],[[1.42101078]],[[0.93053295]],[[1.52441979]],[[1.05494039]]
['MS4A4A'],[[1.47928221]],[[1.79744147]],[[2.1591906]],[[2.50863481]],[[3.07445507]],[[3.16034305]],[[3.00475826]],[[2.60274415]],[[2.01055181]],[[1.26686476]],[[1.00052467]],[[0.82588509]],[[0.8446891]]
['HRH2'],[[0.98148498]],[[1.11290758]],[[1.27653027]],[[1.50085938]],[[2.87829009]],[[2.02652088]],[[1.839187]],[[1.57981953]],[[1.10917897]],[[1.22377899]],[[0.88936784]],[[1.47766789]],[[1.13887324]]
