N,entropy_eps_0.9,entropy_eps_0.5,entropy_eps_0.1,entropy_eps_0.05,entropy_eps_0.01,entropy_eps_0.0001,entropy_eps_1e-06,entropy_eps_1e-10
10,0.011541486760655278,0.011949114045334351,0.012390262473835324,0.012420233998172873,0.012429200164758854,0.012429216196844443,0.012429216196844443,0.012429216196844443
20,0.011871426793527071,0.012148844766573855,0.012414028959207176,0.012426770099160706,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
30,0.012119302998597394,0.012298578920122427,0.012424693586277999,0.012428735730858441,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
40,0.012235248086839682,0.01235496854106376,0.012426921935175814,0.012428982756156318,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
50,0.012298131684468009,0.01238387824957858,0.012428398360669012,0.012429139983906047,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
60,0.012331722190839492,0.01239683715820642,0.012428747955925938,0.012429192164780282,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
70,0.012349909805110205,0.012404546180257846,0.012428946568248079,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
80,0.012361419056015708,0.012408672235145617,0.012429015504966454,0.01242920818883376,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
90,0.012381213582016375,0.012415605011651345,0.012429176148758917,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
100,0.012391230406557105,0.012418824345369004,0.012429168124684009,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
110,0.012393586083376427,0.012419552182705676,0.012429184140673085,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
120,0.01239841080641118,0.012421105685267062,0.012429204184828417,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
130,0.012406974865788595,0.012423353145284288,0.012429196168785624,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
140,0.012408339896113714,0.01242426985087236,0.012429200172790965,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
150,0.012410325672906602,0.012424745076933792,0.01242920818883376,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
160,0.01241346530713726,0.01242556029216551,0.01242920418482842,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
170,0.012417466074391767,0.012426389627219106,0.0124292121928391,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
180,0.012418724128436856,0.012426745217405678,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
190,0.012419273733146365,0.012426965911773837,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
200,0.01242046643289886,0.01242738956444539,0.012429212192839103,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
210,0.012420532546692889,0.012427443055393731,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
220,0.012421904154499359,0.012427843601672685,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
230,0.012421790498625686,0.012427630109253993,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
240,0.012423252921889965,0.012428154332881528,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
250,0.012424054945249674,0.012428399265197704,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
260,0.012424658461364245,0.012428444224449237,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
270,0.012424735883182199,0.012428447770611058,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
280,0.012425191415356569,0.012428537796894805,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
290,0.012425854777003698,0.012428650961420033,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
300,0.012426098667128165,0.012428747597048794,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443,0.012429216196844443
