['LIMA1'],[[0.54503605]],[[0.32008162]],[[0.29770096]],[[0.59791048]],[[0.46920079]],[[0.48763691]],[[0.40594059]],[[0.96686179]],[[0.78626021]],[[0.83904016]],[[1.00039067]],[[1.1934675]],[[1.08072957]]
['SLC4A8'],[[0.89744424]],[[0.71213241]],[[0.56255702]],[[0.60534017]],[[0.503932]],[[0.69203844]],[[0.62379847]],[[1.07645303]],[[0.95845969]],[[0.81234488]],[[1.01342035]],[[1.13919335]],[[1.06141756]]
['PLEKHA5'],[[0.45723493]],[[0.48407099]],[[0.57713235]],[[0.57990102]],[[0.44799402]],[[0.55410251]],[[0.36579131]],[[0.86548951]],[[0.68907537]],[[0.91575317]],[[0.72324585]],[[0.99884456]],[[0.77403818]]
['MCF2L2'],[[0.52141619]],[[0.3978265]],[[0.41600387]],[[0.47789228]],[[0.27850365]],[[0.4323729]],[[0.27712703]],[[0.74816468]],[[0.52635868]],[[0.72473935]],[[0.73819122]],[[0.83200606]],[[0.67479062]]
['USP36'],[[0.60572409]],[[0.49190115]],[[0.43780508]],[[0.64998388]],[[0.46027175]],[[0.5399364]],[[0.36207396]],[[0.99257951]],[[0.8415091]],[[0.85743408]],[[1.04070794]],[[1.17312106]],[[1.04552846]]
['DCBLD2'],[[0.65766111]],[[0.3371416]],[[0.45672636]],[[0.44191698]],[[0.28090622]],[[0.49119954]],[[0.28510922]],[[0.55303665]],[[0.47054037]],[[0.68346075]],[[0.42893605]],[[0.54986676]],[[0.59628647]]
['MTA3'],[[0.53179749]],[[0.37907907]],[[0.29545761]],[[0.56422014]],[[0.36251147]],[[0.45808665]],[[0.36541846]],[[0.94792567]],[[0.7873236]],[[0.76365137]],[[0.83462757]],[[1.01551537]],[[0.89361311]]
['USP13'],[[0.71870389]],[[0.42816089]],[[0.40694051]],[[0.67946072]],[[0.4627031]],[[0.5525176]],[[0.39906114]],[[1.10335025]],[[0.95185545]],[[1.04773118]],[[1.14658254]],[[1.18258346]],[[1.17658155]]
['CROCC'],[[0.63506302]],[[0.5276376]],[[0.503958]],[[0.68272635]],[[0.54816142]],[[0.71097158]],[[0.40954746]],[[1.00720543]],[[0.94445808]],[[0.80826807]],[[1.02484948]],[[1.18399109]],[[1.0272156]]
['ALDH18A1'],[[0.58656863]],[[0.2825274]],[[0.33853861]],[[0.62842028]],[[0.49145712]],[[0.53526827]],[[0.32120988]],[[1.0516257]],[[0.9148144]],[[0.91585552]],[[0.9448164]],[[1.24909333]],[[1.13620339]]
['TARBP1'],[[0.73115719]],[[0.48414937]],[[0.43950959]],[[0.69487568]],[[0.45187348]],[[0.49687571]],[[0.40704026]],[[0.92342267]],[[0.80460294]],[[0.77521342]],[[0.98455932]],[[1.0635075]],[[0.93359935]]
['CA11'],[[0.8151904]],[[0.43130087]],[[0.70663435]],[[0.75893672]],[[0.58749537]],[[0.5448567]],[[0.2226271]],[[1.04889823]],[[0.95994143]],[[0.94523937]],[[0.89339414]],[[1.24983694]],[[1.10332312]]
['ZNF275'],[[0.71195781]],[[0.52230179]],[[0.41127583]],[[0.71134393]],[[0.54399709]],[[0.64523624]],[[0.42249097]],[[1.01524139]],[[0.91126429]],[[0.87268593]],[[1.08842959]],[[1.15594248]],[[1.06514404]]
['RRP15'],[[0.65595083]],[[0.41054935]],[[0.50775871]],[[0.68040265]],[[0.52294956]],[[0.56942826]],[[0.40783465]],[[0.97089292]],[[0.80315148]],[[0.71919754]],[[0.95724781]],[[1.08779854]],[[0.99160079]]
