['NDUFAF7'],[[1.55163603]],[[2.10884412]],[[1.8507869]],[[2.20552272]],[[1.88051112]],[[1.86552159]],[[1.8826747]],[[1.23688288]],[[0.93149566]],[[0.90792997]],[[1.05931178]],[[1.14427388]],[[1.01811386]]
['CREBBP'],[[1.41610739]],[[1.62845124]],[[1.70772295]],[[1.92881314]],[[1.71331127]],[[1.37192899]],[[1.44446074]],[[1.39574912]],[[1.10894178]],[[1.19154534]],[[1.0847013]],[[1.22780072]],[[1.07080199]]
['NADK'],[[1.43664908]],[[1.80532601]],[[1.87120163]],[[2.10845206]],[[1.80863705]],[[1.78284982]],[[1.71343676]],[[1.60903072]],[[1.22374137]],[[1.40339848]],[[1.13360417]],[[1.32484065]],[[1.13950384]]
['ZNF200'],[[1.20070594]],[[1.73739045]],[[1.65040565]],[[1.80080223]],[[1.53224393]],[[1.3133363]],[[1.52834624]],[[1.1839738]],[[0.85041555]],[[1.1399082]],[[0.91118021]],[[1.09733028]],[[0.92208697]]
['MVP'],[[1.13498166]],[[1.67757863]],[[1.83346532]],[[2.13005735]],[[1.89302467]],[[1.75393343]],[[1.76751371]],[[1.57281242]],[[1.20143222]],[[1.22679924]],[[1.09396411]],[[1.31768207]],[[1.11100873]]
['ZC3H3'],[[1.21384398]],[[1.48749212]],[[1.56715307]],[[2.0487783]],[[1.7419735]],[[1.36806483]],[[1.53033255]],[[1.44612799]],[[1.16268503]],[[1.13114205]],[[1.06776673]],[[1.27279637]],[[1.10680534]]
['SLC45A4'],[[1.21016875]],[[1.87593266]],[[1.88136157]],[[1.86212512]],[[1.55479034]],[[1.55724244]],[[1.82241769]],[[1.22096794]],[[1.01885803]],[[1.38448302]],[[0.93281959]],[[1.05491402]],[[0.94991282]]
['RB1CC1'],[[1.69132596]],[[2.12239207]],[[1.9743504]],[[2.14718651]],[[1.98641252]],[[1.41316985]],[[1.67895269]],[[1.29825032]],[[0.97417879]],[[1.05986087]],[[1.00045098]],[[1.10856729]],[[0.98807082]]
['NSMAF'],[[1.37498359]],[[1.45391886]],[[1.50023308]],[[1.90366142]],[[1.69619728]],[[1.22595268]],[[1.11421082]],[[1.22291554]],[[0.99743078]],[[1.00480579]],[[1.00797478]],[[1.17009995]],[[1.01762899]]
['CELF2'],[[2.21724056]],[[2.15841986]],[[1.99287434]],[[2.13363877]],[[1.95284945]],[[1.33843503]],[[1.52265201]],[[1.3341365]],[[1.05483791]],[[1.05838659]],[[1.04969908]],[[1.17688443]],[[1.02373091]]
['H6PD'],[[1.30174397]],[[1.68589393]],[[1.87638846]],[[1.9608561]],[[1.87625384]],[[1.51197603]],[[1.58662637]],[[1.29763341]],[[0.93915137]],[[1.11632054]],[[1.03639732]],[[1.18126566]],[[1.03179745]]
['VAMP3'],[[1.46558844]],[[1.72172823]],[[1.79916264]],[[2.00298042]],[[1.86073361]],[[1.59557762]],[[1.88379537]],[[1.44010219]],[[1.06879875]],[[1.15170077]],[[0.99379056]],[[1.14189414]],[[1.02395199]]
['RFC2'],[[1.40313054]],[[1.87141673]],[[2.01065432]],[[2.0315088]],[[1.86994673]],[[1.22772138]],[[1.22083693]],[[1.29803289]],[[1.05160965]],[[1.21718116]],[[1.04406891]],[[1.1880195]],[[0.9997679]]
['ARID4B'],[[1.36288537]],[[1.6957203]],[[1.60410902]],[[1.93816812]],[[1.72262845]],[[1.37371315]],[[1.41275445]],[[1.25560362]],[[0.947721]],[[1.0214601]],[[0.9920026]],[[1.1545802]],[[0.97499741]]
['ITIH4'],[[1.23115825]],[[2.1211714]],[[1.85078689]],[[2.05242449]],[[1.8278216]],[[1.063385]],[[2.90027521]],[[1.39603332]],[[0.95651186]],[[0.5603429]],[[0.88355822]],[[1.12760253]],[[0.95720805]]
['PRDM1'],[[1.62984406]],[[2.09238809]],[[2.02562883]],[[2.19103211]],[[2.03152002]],[[0.95328388]],[[0.98026225]],[[1.11142651]],[[0.90404732]],[[1.07029877]],[[0.9825846]],[[1.25706758]],[[1.10812916]]
