['FGR'],[[1.41324249]],[[1.86567116]],[[2.04274737]],[[2.3206774]],[[2.13523347]],[[2.17699556]],[[2.03891256]],[[1.90381276]],[[1.37218696]],[[1.35092921]],[[1.22249365]],[[1.44503963]],[[1.21791525]]
['LAMP2'],[[1.87397]],[[1.92246249]],[[1.87534005]],[[2.10710404]],[[1.9606319]],[[1.62573723]],[[1.80192079]],[[1.51176189]],[[1.1028325]],[[1.21735211]],[[1.03178385]],[[1.17173381]],[[1.01270012]]
['KDM7A'],[[1.69771924]],[[1.70291949]],[[1.65946747]],[[1.82667917]],[[1.67251096]],[[1.55973964]],[[1.77280418]],[[1.32179064]],[[1.11735984]],[[1.10629208]],[[1.05315027]],[[1.10849576]],[[0.96505835]]
['IFRD1'],[[1.80994059]],[[2.03785108]],[[1.90664751]],[[2.19211255]],[[1.91930295]],[[1.85318106]],[[1.96431554]],[[1.51283258]],[[1.18150939]],[[1.21854639]],[[1.15137557]],[[1.27480795]],[[1.03662346]]
['CDKL5'],[[1.76872686]],[[1.97684518]],[[1.91449946]],[[2.02218057]],[[1.78685584]],[[1.79290595]],[[1.78228091]],[[1.39104792]],[[0.94457021]],[[1.02037832]],[[1.00221006]],[[1.07628636]],[[0.9331121]]
['TYROBP'],[[1.42200956]],[[1.53218604]],[[1.76451049]],[[2.02598298]],[[1.84140397]],[[1.60312893]],[[1.69757537]],[[1.74881602]],[[1.37797897]],[[1.41292546]],[[1.11295884]],[[1.3657543]],[[1.16138899]]
['SEMA3B'],[[1.6079963]],[[1.89240688]],[[2.16219657]],[[2.2289931]],[[1.75398275]],[[1.70992289]],[[1.88438338]],[[2.07783595]],[[1.76195964]],[[1.17184469]],[[0.92413947]],[[1.29557978]],[[1.05627313]]
['EXTL3'],[[2.06056501]],[[1.9544725]],[[2.02344487]],[[2.30326718]],[[2.08184974]],[[1.58643136]],[[1.54000122]],[[1.50839588]],[[1.17990947]],[[1.33393875]],[[1.15466404]],[[1.30663372]],[[1.15783603]]
['WAS'],[[1.50527548]],[[1.73444441]],[[1.86600357]],[[2.1421709]],[[1.92364596]],[[1.58466708]],[[1.61303401]],[[1.62488871]],[[1.27853718]],[[1.27954607]],[[1.17678187]],[[1.35550044]],[[1.16612486]]
['RTFDC1'],[[1.82695095]],[[1.8941332]],[[2.04144752]],[[2.22086797]],[[2.03721188]],[[1.52901114]],[[1.89920365]],[[1.52430056]],[[1.196577]],[[1.2378447]],[[1.13924374]],[[1.30023842]],[[1.14115854]]
['RRAGD'],[[1.97694946]],[[1.78418534]],[[1.91631804]],[[1.98716244]],[[1.81267957]],[[1.71918081]],[[2.17745219]],[[1.48008626]],[[1.22729666]],[[1.31044689]],[[0.98772608]],[[1.06730788]],[[0.93452814]]
