['AHRR'],[[1.59518414]],[[1.3904628]],[[1.8507869]],[[2.08256446]],[[1.44563853]],[[2.01027064]],[[1.33886227]],[[1.99159217]],[[1.27033478]],[[1.56452749]],[[1.4300694]],[[2.90307394]],[[3.34790784]]
['SPAG6'],[[1.23115817]],[[1.03773704]],[[1.80025889]],[[1.11490785]],[[0.78593856]],[[2.14573482]],[[1.45839246]],[[1.48266646]],[[0.66964808]],[[1.2048944]],[[0.617311]],[[0.49201754]],[[0.48720949]]
['DHDH'],[[1.23115837]],[[0.66873891]],[[0.76144848]],[[1.88027717]],[[1.49043064]],[[0.58953618]],[[0.38504847]],[[0.73744792]],[[0.44349226]],[[1.03151048]],[[0.7146252]],[[1.04179561]],[[0.58669972]]
['TPD52L1'],[[1.23115843]],[[0.57666973]],[[0.65930942]],[[0.99503528]],[[1.11425999]],[[0.88070236]],[[0]],[[0.58611719]],[[0.39090959]],[[0.52111918]],[[0.78651637]],[[0.7289466]],[[0.36487123]]
['IFIT3'],[[1.29638641]],[[1.28741568]],[[1.28198845]],[[2.14287648]],[[1.75248227]],[[0.81650588]],[[0.88481883]],[[1.15692317]],[[0.9560307]],[[1.47860583]],[[1.03602968]],[[1.68512357]],[[1.28197789]]
['CXCL6'],[[1.28913055]],[[1.17862276]],[[1.31596974]],[[1.65376086]],[[1.23648295]],[[1.23391512]],[[1.06523656]],[[0.502531]],[[0.62593786]],[[1.01829054]],[[1.15320119]],[[1.30268324]],[[0.93953493]]
['C3'],[[1.87969247]],[[0.73341063]],[[0.95407504]],[[1.69752249]],[[0.53894439]],[[0.36016718]],[[0.61612552]],[[1.04925956]],[[0.96448979]],[[0.81769792]],[[1.29566842]],[[1.14089126]],[[1.37870807]]
['IFI6'],[[1.04586806]],[[0.93249558]],[[1.04309223]],[[1.99169597]],[[1.61428509]],[[0.52449194]],[[0.46835869]],[[0.95169973]],[[0.88789071]],[[1.67287067]],[[0.85346827]],[[1.62713065]],[[1.21457271]]
['CHI3L1'],[[1.16298593]],[[1.3959386]],[[1.38394209]],[[1.8785698]],[[1.50823051]],[[1.54018379]],[[0.37230568]],[[0.66241188]],[[0.89415334]],[[1.70246668]],[[1.33230888]],[[1.23516883]],[[1.2910235]]
['RSAD2'],[[1.10091983]],[[0.89239826]],[[0.9072932]],[[1.75380016]],[[1.4131984]],[[0.37726006]],[[0.33528658]],[[0.90465291]],[[1.0690213]],[[1.50216919]],[[0.68191943]],[[1.83335161]],[[0.97310563]]
['NOV'],[[2.14665118]],[[1.41445764]],[[1.46590734]],[[1.28682481]],[[0.87916381]],[[0.42324078]],[[0.37910717]],[[0.71166499]],[[1.03272431]],[[1.29381377]],[[1.11586281]],[[1.12752912]],[[1.04806926]]
['HERC5'],[[1.08127055]],[[1.03835744]],[[1.03259631]],[[2.01208522]],[[1.54718433]],[[0.59004355]],[[0.26545099]],[[0.88585753]],[[0.71131839]],[[1.3152964]],[[0.83477773]],[[1.48431277]],[[1.06783841]]
['SLC27A2'],[[2.12726516]],[[0.98754254]],[[0.85683184]],[[1.11016604]],[[0.68116904]],[[0.22435441]],[[0.14008212]],[[0.62719147]],[[0.67620798]],[[0.72473924]],[[0.70898427]],[[1.03065836]],[[0.80371487]]
['RPL3L'],[[0.5900823]],[[0.56473634]],[[0.72398843]],[[0.40823568]],[[0.6498354]],[[0.55896847]],[[0.65404044]],[[0.67996931]],[[0.79466206]],[[0.37147069]],[[0.11755905]],[[0.2925243]],[[0.38110956]]
['MX1'],[[1.03236224]],[[0.99403996]],[[1.02760214]],[[1.72989079]],[[1.48017215]],[[0.66741068]],[[0.46328732]],[[0.78812983]],[[0.68083456]],[[1.37155387]],[[0.77158146]],[[1.45110745]],[[1.08053171]]
['BATF2'],[[2.33893748]],[[1.77425399]],[[1.8027958]],[[2.20355947]],[[2.00359297]],[[0.92872126]],[[1.34959203]],[[1.17280483]],[[0.90391269]],[[1.68147994]],[[1.23493887]],[[1.4812251]],[[1.43169641]]
['CXCL8'],[[2.72758264]],[[0.79275442]],[[0.99388416]],[[1.28324231]],[[1.11965628]],[[0.30874524]],[[1.33045004]],[[0.41018235]],[[0.45219273]],[[1.08483787]],[[0.95360126]],[[1.13713838]],[[0.89908894]]
['SDC2'],[[2.12726484]],[[1.18754371]],[[1.29178987]],[[1.01040011]],[[0.83142791]],[[0.34870084]],[[0.14008215]],[[0.45639661]],[[0.56392553]],[[0.93632161]],[[0.6062958]],[[0.80444761]],[[0.74323902]]
['TSPEAR'],[[1.46919011]],[[1.91231933]],[[1.27029418]],[[2.23879996]],[[2.05853768]],[[1.53249668]],[[0.73912548]],[[1.11775321]],[[0.98561401]],[[2.14605543]],[[1.81906109]],[[1.79038467]],[[1.60006761]]
