['CFLAR'],[[1.66995866]],[[2.31502443]],[[2.2810337]],[[2.58851393]],[[2.31477212]],[[1.98458944]],[[2.21349803]],[[1.68458829]],[[1.15835808]],[[1.09589879]],[[1.02603051]],[[1.2377147]],[[1.03228107]]
['SKAP2'],[[1.83853691]],[[2.10328373]],[[2.15161525]],[[2.44027779]],[[2.26122285]],[[1.85519446]],[[2.33556584]],[[1.60863257]],[[1.24125189]],[[1.22559004]],[[1.06091373]],[[1.20046928]],[[1.02625506]]
['ABHD5'],[[2.42380149]],[[2.35231599]],[[2.2682136]],[[2.86054228]],[[2.61271674]],[[1.50053706]],[[2.62427767]],[[1.60856862]],[[1.19541406]],[[1.31309693]],[[1.19016577]],[[1.37291769]],[[1.18462656]]
['GAB2'],[[1.81141296]],[[2.19508586]],[[2.32277894]],[[2.67679855]],[[2.41672611]],[[1.89879315]],[[2.02184841]],[[1.72771835]],[[1.30736365]],[[1.37498632]],[[1.25017285]],[[1.39099435]],[[1.20451167]]
['ZFYVE16'],[[1.88741339]],[[2.19478096]],[[1.92465007]],[[2.380574]],[[2.13376166]],[[1.81289425]],[[2.13230551]],[[1.46082084]],[[1.05658991]],[[1.03879584]],[[1.05299809]],[[1.22266834]],[[1.03542932]]
['FAM184B'],[[1.05522556]],[[2.58791788]],[[3.1690758]],[[2.57676631]],[[2.06211379]],[[2.09793413]],[[2.31520267]],[[1.3160349]],[[1.21852245]],[[1.20489447]],[[1.25691799]],[[1.50901949]],[[1.4002464]]
['FAM160A2'],[[2.10522035]],[[2.23294868]],[[2.29959013]],[[2.52445288]],[[2.36028392]],[[2.09989007]],[[2.36641341]],[[1.71790976]],[[1.36625821]],[[1.2091604]],[[1.21743212]],[[1.35082796]],[[1.1847552]]
['EIF2AK2'],[[2.47900671]],[[2.6977171]],[[2.57867544]],[[2.97203789]],[[2.76256304]],[[1.82175543]],[[2.0982876]],[[1.22247326]],[[0.891099]],[[1.12268667]],[[0.95123361]],[[1.29025867]],[[1.07925579]]
['TMCC3'],[[2.4160939]],[[2.41791159]],[[2.48101849]],[[2.66906578]],[[2.40325084]],[[1.69979796]],[[1.8739952]],[[1.4214079]],[[1.03852494]],[[1.3552871]],[[1.09728119]],[[1.26199869]],[[1.09116429]]
['ATP11B'],[[1.92113845]],[[2.36814512]],[[2.28175203]],[[2.6372905]],[[2.49020391]],[[2.06188787]],[[2.43602538]],[[1.48298636]],[[1.01560144]],[[0.97706954]],[[0.99512634]],[[1.14203182]],[[0.9632739]]
['CDK14'],[[2.26225934]],[[2.20112963]],[[2.20975054]],[[2.46511613]],[[2.13066046]],[[1.68528201]],[[2.50525871]],[[1.59894035]],[[1.36119905]],[[1.2663994]],[[1.06340224]],[[1.24691942]],[[1.07240877]]
['YIPF1'],[[1.30605949]],[[2.05147476]],[[2.20887571]],[[2.48465681]],[[2.32312066]],[[1.9868233]],[[1.95871324]],[[1.50811037]],[[1.11045139]],[[1.05797105]],[[0.99749067]],[[1.16664515]],[[0.99293775]]
['MXD1'],[[2.05636535]],[[2.43504556]],[[2.43835116]],[[2.79080406]],[[2.60489178]],[[1.87586179]],[[2.34047439]],[[1.68540674]],[[1.19167668]],[[1.30322175]],[[1.15107271]],[[1.30382556]],[[1.07872021]]
['CTDP1'],[[1.38204178]],[[1.9731277]],[[2.0850331]],[[2.48115116]],[[2.19297562]],[[1.58641779]],[[1.88314953]],[[1.43668301]],[[1.10538122]],[[1.13788417]],[[1.04119838]],[[1.29159927]],[[1.09781185]]
['ELMO2'],[[1.94793838]],[[2.13408474]],[[2.23313131]],[[2.31970912]],[[2.16623487]],[[1.59401445]],[[1.53442282]],[[1.4382977]],[[1.1116631]],[[1.03546962]],[[1.02759171]],[[1.18791237]],[[1.04238513]]
['VMP1'],[[1.83994669]],[[2.27759789]],[[2.20526397]],[[2.53919986]],[[2.3085097]],[[1.78119559]],[[1.77785269]],[[1.72171591]],[[1.24504593]],[[1.22232814]],[[1.13998445]],[[1.28675474]],[[1.10939335]]
['HIPK2'],[[2.23687009]],[[2.31078368]],[[2.35500355]],[[2.24968349]],[[2.08742072]],[[1.27355237]],[[1.95030155]],[[1.25724147]],[[0.98313809]],[[1.15750813]],[[0.99446951]],[[1.10920405]],[[1.00236474]]
['TNPO3'],[[1.78291548]],[[1.93182516]],[[1.97070389]],[[2.2268606]],[[2.17465995]],[[1.52672956]],[[2.01648861]],[[1.4116616]],[[1.09755888]],[[1.02136451]],[[1.02388227]],[[1.1561681]],[[1.03972684]]
['ANKS1A'],[[1.93496598]],[[2.3663329]],[[2.4169817]],[[2.51256606]],[[2.33213991]],[[1.62926153]],[[2.15133522]],[[1.5802054]],[[1.22118402]],[[1.13024858]],[[1.17444526]],[[1.34780324]],[[1.17576613]]
