['STPG1'],[[0.27830795]],[[0.24006144]],[[0.38394878]],[[0.65471068]],[[0.44834982]],[[0.57245509]],[[0.28056339]],[[1.251406]],[[0.8779902]],[[0.90314322]],[[0.95561989]],[[1.21256085]],[[1.02276511]]
['KLHL13'],[[0.74310726]],[[0.14443865]],[[0.69662314]],[[0.67697801]],[[0.49389707]],[[0.44418465]],[[0.40898762]],[[1.07881891]],[[1.20556292]],[[1.14533521]],[[0.94421542]],[[1.12438602]],[[0.8065778]]
['CD4'],[[0.42516334]],[[0.27055418]],[[0.34818145]],[[0.52001919]],[[0.35238658]],[[0.74315652]],[[0.36476993]],[[1.15445494]],[[0.90949465]],[[1.00256825]],[[0.93485262]],[[1.12217139]],[[1.04177098]]
['VSIG2'],[[0.65766111]],[[0.27572344]],[[0]],[[0.55636279]],[[0.57845354]],[[1.05771709]],[[0]],[[1.42783975]],[[1.40307212]],[[1.77566181]],[[1.02528948]],[[1.13058964]],[[0.9945543]]
['TRIT1'],[[0.62931786]],[[0.46944397]],[[0.58049867]],[[0.64293445]],[[0.43855291]],[[0.75605601]],[[0.64980028]],[[1.16234101]],[[1.06146416]],[[0.83338511]],[[0.91409778]],[[1.03750582]],[[0.96387051]]
['DSG2'],[[0.74310726]],[[0]],[[0.36699433]],[[0.68310665]],[[0.34010202]],[[0.27538604]],[[0.5943949]],[[0.75392966]],[[0.79646097]],[[0.90314322]],[[0.95288833]],[[1.22626669]],[[0.9019252]]
['PTPRU'],[[0.74310726]],[[1.30696618]],[[0.9022585]],[[0.96616526]],[[1.2214883]],[[0]],[[1.33886227]],[[2.13621154]],[[2.17788642]],[[1.85216193]],[[2.09864613]],[[1.91165726]],[[2.30591552]]
['NTHL1'],[[0.69124264]],[[0.24006144]],[[0.24238321]],[[0.77317985]],[[0.49886262]],[[0.59377513]],[[0.43171638]],[[1.12934132]],[[1.11225935]],[[0.83069568]],[[1.08818885]],[[1.28695585]],[[1.17192498]]
['KIF26A'],[[0.53524139]],[[0.19839445]],[[0.36699434]],[[0.42444142]],[[0.63037254]],[[0.62931144]],[[0.26775832]],[[0.88890929]],[[0.41960165]],[[1.17740584]],[[0.62243619]],[[1.15260516]],[[1.09097934]]
['TRO'],[[0.88144626]],[[0.7966837]],[[0]],[[0.59147366]],[[0.68102626]],[[0.39558587]],[[0.25240318]],[[1.48153142]],[[1.14613188]],[[0.72473935]],[[1.23538842]],[[1.48886883]],[[1.18929472]]
['NAV3'],[[2.22993414]],[[0.82305748]],[[0.81199961]],[[0.83308764]],[[0.37979412]],[[0.34973631]],[[0.22187944]],[[0.92020094]],[[0.92233797]],[[1.150613]],[[1.36014058]],[[1.05003048]],[[1.3152392]]
['TCF3'],[[0.54803284]],[[0.53724042]],[[0.5224522]],[[0.68900561]],[[0.53170765]],[[0.67292545]],[[0.60016499]],[[1.23360755]],[[1.55052048]],[[1.46515212]],[[0.98213089]],[[1.17911997]],[[1.0428105]]
['ARHGEF10L'],[[0.33009835]],[[0.5609475]],[[0.6169128]],[[0.74485213]],[[0.53635171]],[[1.25986887]],[[0.84394102]],[[1.29874444]],[[1.16721938]],[[1.04997651]],[[1.18291536]],[[1.2378535]],[[1.13667057]]
['ADD2'],[[0.39267461]],[[0.343142]],[[0.26883349]],[[0.70184773]],[[0.56065743]],[[0.83526552]],[[0.4671536]],[[1.14836912]],[[1.42278307]],[[1.24232972]],[[0.85568072]],[[1.08831757]],[[1.0264814]]
['SLC46A1'],[[0.33629529]],[[0.36421738]],[[0.55973093]],[[0.72406475]],[[0.35848205]],[[1.18795507]],[[0.70985843]],[[1.95874991]],[[1.61044029]],[[1.15085239]],[[1.45261122]],[[1.5241708]],[[1.38368624]]
['EFNB1'],[[0.45971304]],[[0.58267421]],[[0.6924207]],[[0.64844292]],[[0.54548502]],[[0.73600994]],[[0.60054851]],[[1.23785649]],[[1.02484822]],[[1.24231817]],[[1.0968418]],[[1.09025979]],[[1.01418375]]
['OSGEP'],[[0.77070899]],[[0.52464928]],[[0.5659508]],[[0.72828754]],[[0.52798991]],[[0.83963763]],[[0.70851278]],[[1.25180708]],[[1.05639436]],[[0.88499193]],[[1.10294858]],[[1.16844588]],[[1.01796624]]
['SLC22A17'],[[0.29477223]],[[0.18621707]],[[0.25690622]],[[0.26586791]],[[0.16866544]],[[0.62527264]],[[0.15621079]],[[0.76191653]],[[0.62419791]],[[1.04351302]],[[0.56308372]],[[0.66435363]],[[0.48980112]]
['SCD'],[[1.61735544]],[[0.43090255]],[[0.57999234]],[[0.7085927]],[[0.57924926]],[[1.12053442]],[[0.73912567]],[[1.21794819]],[[1.01560945]],[[1.26053376]],[[1.11350894]],[[1.26530187]],[[0.95214332]]
['STX1B'],[[0.40146239]],[[0.18954073]],[[0.22097599]],[[0.46430787]],[[0.30666408]],[[0.27538599]],[[0.40898758]],[[0.91942987]],[[0.80502444]],[[0.58228671]],[[0.65970395]],[[0.91764357]],[[0.82702814]]
['DERL3'],[[0.76299568]],[[0.35568278]],[[0.44316303]],[[0.98907605]],[[0.58996578]],[[0.47677215]],[[0.45332672]],[[1.51563558]],[[1.43180676]],[[1.66007879]],[[1.43902037]],[[1.56363]],[[1.18262303]]
['LGMN'],[[0.53524139]],[[0.24006151]],[[0.36699438]],[[0.55652254]],[[0.35339563]],[[0.5398724]],[[0.60715841]],[[1.01077854]],[[0.98301828]],[[0.99716728]],[[0.84587868]],[[0.96352051]],[[0.81728198]]
['QPRT'],[[1.14587213]],[[0.66873891]],[[0.54938447]],[[0.57708351]],[[0.40603091]],[[0.58953646]],[[0.77717756]],[[0.8238003]],[[0.79919794]],[[1.00047338]],[[0.92558446]],[[1.13160827]],[[0.88184829]]
['CNTD2'],[[1.88561629]],[[0]],[[1.45311145]],[[1.17967273]],[[0.84538733]],[[0]],[[0]],[[2.0054582]],[[2.08313436]],[[1.85216216]],[[0.50511648]],[[1.79648361]],[[1.3952868]]
['LFNG'],[[0.45176869]],[[0.33030527]],[[0.36415064]],[[0.49208535]],[[0.35095014]],[[0.74463679]],[[0.52270425]],[[1.21920111]],[[1.04189458]],[[0.9952206]],[[1.0266127]],[[1.15514891]],[[1.01544862]]
['CPED1'],[[0.65190878]],[[0.53473061]],[[0.33853854]],[[0.97523044]],[[0.79450684]],[[0.74166364]],[[0.58376528]],[[2.15261771]],[[1.74321201]],[[1.01540052]],[[1.29113932]],[[1.59885213]],[[1.33039617]]
['HSPB1'],[[0.48377329]],[[0.52463862]],[[0.51608094]],[[0.56175889]],[[0.44460268]],[[0.57873163]],[[0.60429384]],[[0.99197537]],[[1.21422188]],[[1.8540941]],[[0.6581301]],[[0.88952459]],[[0.78494292]]
['PPP1R17'],[[0.2923015]],[[0]],[[0.65930936]],[[0.37546503]],[[0.32529563]],[[0.70571579]],[[0.32759489]],[[1.39570643]],[[0.93667725]],[[0.52111911]],[[0.94988838]],[[0.88740445]],[[1.03461177]]
['TSPAN13'],[[0.58237439]],[[0.48918521]],[[0.34366128]],[[1.06939035]],[[0.86779618]],[[0.47569748]],[[0.75866527]],[[1.50686292]],[[1.5726366]],[[1.06189373]],[[1.40171003]],[[1.47279851]],[[1.31832164]]
['ENG'],[[0.50596294]],[[0.30106213]],[[0.33667483]],[[0.64269248]],[[0.52109]],[[1.08786366]],[[0.48672716]],[[1.50464405]],[[1.3194987]],[[0.98470101]],[[1.20788778]],[[1.37738177]],[[1.2711217]]
['NCS1'],[[0.65766126]],[[0.61023014]],[[0.69662317]],[[0.37137124]],[[0.30890427]],[[0.34529272]],[[0.28510926]],[[0.63901231]],[[0.72295813]],[[0.91508046]],[[0.55197157]],[[0.91435352]],[[0.70450157]]
['TBC1D9'],[[0.39328944]],[[0.42323832]],[[0.51488587]],[[0.91483124]],[[0.72191158]],[[1.10065517]],[[0.60192814]],[[1.58677531]],[[1.31727882]],[[1.0324622]],[[1.2112774]],[[1.37329062]],[[1.15748602]]
