['GCLC'],[[0.91134237]],[[0.75740851]],[[0.80239265]],[[0.89017243]],[[0.7647765]],[[0.74687011]],[[0.74036117]],[[1.21187308]],[[1.4805681]],[[1.2170629]],[[1.01034478]],[[1.0837481]],[[1.03618911]]
['PRKAR2B'],[[0.80330986]],[[0.85941314]],[[0.80621911]],[[0.85890168]],[[0.81291423]],[[0.76180633]],[[1.06697412]],[[1.49964513]],[[1.36500342]],[[1.4490863]],[[0.92322986]],[[0.84810924]],[[0.78870279]]
['MPO'],[[1.52035084]],[[0.68646815]],[[0.70103664]],[[0.99391796]],[[0.7876721]],[[0.81323281]],[[0.64230705]],[[1.3525802]],[[1.57949021]],[[2.94975]],[[0.95685181]],[[1.43073141]],[[1.20284819]]
['E2F2'],[[0.67233477]],[[0.77463986]],[[0.81769945]],[[0.75372758]],[[0.64283116]],[[0.96178947]],[[0.80289482]],[[1.28288179]],[[1.3451217]],[[1.32577848]],[[0.75917584]],[[0.9973984]],[[0.97944112]]
['TSPAN9'],[[0.67687301]],[[0.71426654]],[[0.83912881]],[[0.55761079]],[[0.52987047]],[[0.77524385]],[[0.90857236]],[[1.1848604]],[[1.19342929]],[[1.58748449]],[[0.67770132]],[[0.6525412]],[[0.59367834]]
['EHD3'],[[0.8102736]],[[0.73418286]],[[0.8300815]],[[0.69534822]],[[0.59911685]],[[0.83430438]],[[0.75341513]],[[1.3677977]],[[1.32570646]],[[1.49751509]],[[0.84417169]],[[0.8305066]],[[0.80722817]]
['SLC25A39'],[[0.57967086]],[[0.61933638]],[[0.6863942]],[[0.64542595]],[[0.54687053]],[[0.63078414]],[[0.66625861]],[[1.10773667]],[[1.33788313]],[[1.56068176]],[[0.77302229]],[[1.04739064]],[[0.95927307]]
['HEBP1'],[[0.76931795]],[[0.73349607]],[[0.74968484]],[[0.81013873]],[[0.6248875]],[[0.90849639]],[[0.97316436]],[[1.24401417]],[[1.3700026]],[[1.53716584]],[[1.05446651]],[[1.05841121]],[[0.89980331]]
['FHL1'],[[0.6709109]],[[0.62730656]],[[0.56896667]],[[0.68884459]],[[0.65789507]],[[0.60430317]],[[0.63212007]],[[1.42187316]],[[1.47687012]],[[1.48375143]],[[0.94005829]],[[0.92382658]],[[0.85228489]]
['EHD2'],[[1.265258]],[[0.74474511]],[[1.11013118]],[[0.93463036]],[[0.84673297]],[[0.88070247]],[[1.51003378]],[[1.70115527]],[[1.31629447]],[[1.39588819]],[[0.9955033]],[[0.93881534]],[[0.79503291]]
['MAP2K3'],[[0.70831274]],[[0.89403549]],[[0.93429953]],[[0.93363059]],[[0.76930449]],[[0.90552059]],[[0.90696627]],[[1.14576541]],[[1.5102964]],[[1.31308111]],[[0.80664941]],[[0.9620345]],[[0.8740153]]
['RIPOR3'],[[0.67709128]],[[0.61145805]],[[0.65930934]],[[0.63798533]],[[0.56420986]],[[0.56341119]],[[0.74286103]],[[1.14981773]],[[1.16971896]],[[1.41417622]],[[0.62953514]],[[0.86317573]],[[0.7962657]]
['AP2S1'],[[0.66420148]],[[0.69652876]],[[0.7766536]],[[0.83058586]],[[0.73217085]],[[0.83774452]],[[0.88085564]],[[1.28595866]],[[1.34764704]],[[1.5098056]],[[0.87468232]],[[1.08672809]],[[0.91898465]]
['ARHGAP6'],[[0.68442948]],[[0.77223302]],[[0.78469158]],[[0.65607884]],[[0.62004179]],[[0.77582223]],[[0.92488164]],[[1.25504952]],[[1.13178111]],[[1.43950222]],[[0.83546514]],[[0.79019294]],[[0.73005772]]
