N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
3,0.0372906047987544,0.4716854480449565,0.0369458535071093,0.4652937398442937,0.0506100534576862,10
4,0.0314088707522654,0.5874706783114173,0.0307674388520034,0.5893986013871472,0.0560456098435175,10
5,0.0295839438346368,0.6190080268988186,0.029745085684121,0.6078229432460548,0.0584420723374848,10
6,0.0299788432630203,0.6123204626353688,0.0293550422812135,0.6143926453092985,0.0616820183187371,10
7,0.0289479125736506,0.6296290616665028,0.0286556784566293,0.6262615110912453,0.0611393002144195,10
8,0.0242759958071804,0.7027415307656059,0.0247714753320396,0.6891819888074198,0.060361872151682,10
9,0.0252263781690856,0.6884955885491343,0.0256547822707914,0.6753938291074492,0.0608525060372223,10
10,0.0230106944586602,0.7212659007943155,0.0231011921886857,0.7142638804768822,0.0645787643038116,10
20,0.0151569013115872,0.8270285299959257,0.0155183547178433,0.8191184766167745,0.0695784034993339,10
30,0.0119929133603247,0.8659941334493987,0.0123889758073575,0.8586993671493035,0.0725169312061994,10
40,0.0092164558573399,0.8987966868856487,0.0097028929690548,0.8912138642626184,0.0725823719031482,10
50,0.0083817328000688,0.9084269443656008,0.0088826023023928,0.9009493386158692,0.0758476402656029,10
60,0.0073665728839814,0.9200031317955712,0.0079172873569759,0.9122445969243574,0.0766186679866639,10
70,0.0062912214482304,0.932108908092084,0.0068662876284717,0.9243436010739948,0.0768550814231029,10
80,0.0058381064382355,0.9371630269428484,0.0066442704757968,0.926947462632154,0.0772597195194708,10
90,0.0050517786386248,0.9458697575389352,0.00575844089769,0.9369879767730962,0.0776219828654889,10
100,0.0047754960646799,0.9489099698671606,0.0054751022486807,0.9401786667262212,0.0774784492206974,10
150,0.0030679854513954,0.9674874705278028,0.0038072371425265,0.9588389697471164,0.0779481073560432,10
200,0.0025612327341931,0.9729326194029776,0.0034082994042398,0.9632146032059375,0.0781789087474059,10
250,0.0019610515717661,0.9793425121353124,0.0028566291136845,0.9693003831009082,0.0782178188903406,10
300,0.0016356131720183,0.9828006917124884,0.0026016595956873,0.9720647233524288,0.0782234068089327,10
2,0.0368541971110859,0.4789033582809408,0.0369609855137718,0.4746274200920498,0.0503672702812785,100
3,0.0344656008447682,0.5284782814691577,0.0350855236229197,0.514543013963338,0.0534885196694763,100
4,0.0333892202688777,0.549361957417266,0.0333206664239093,0.5491413221012329,0.0576816831030916,100
5,0.0321505527619551,0.5724514085042498,0.0319749753055452,0.5742198705766269,0.060595714876495,100
6,0.027847114979,0.6462887254477936,0.0279180786487803,0.644040440078705,0.0615698733374066,100
7,0.027279300031213,0.6554118303900603,0.0270496838529311,0.6580426095654874,0.0624662740767685,100
8,0.024976348053635,0.6911729490432375,0.0249206376025174,0.6910945888554496,0.0617221796126198,100
9,0.0255882388075315,0.6818538690256437,0.0257332021891439,0.6787004088326203,0.0643965150757175,100
10,0.0235242440614182,0.7128010665876524,0.0233189120328006,0.7150494690815716,0.064458074378631,100
20,0.0156935907362048,0.819653057710182,0.0162495381986861,0.8120768984982973,0.0686523537048355,100
30,0.0126326056213183,0.857810802821384,0.0127620528381919,0.8559223114676551,0.0722912936515689,100
40,0.0093014951762218,0.8974944540106383,0.0098619634562484,0.8906683592022495,0.0744865549510023,100
50,0.0088794468753503,0.9023978070351288,0.0094362573604675,0.8956945077459835,0.0759816969577355,100
60,0.0068411368769967,0.925713173459166,0.0073048137825953,0.9202859854920478,0.0760341991839908,100
70,0.0059313807452215,0.9359320491581782,0.0066246463645525,0.9280222364912986,0.0766565591574718,100
80,0.0056231615935933,0.9393689239381262,0.0062809777319147,0.9318554752452012,0.0771902707322072,100
90,0.005004281868073,0.9462322081890532,0.0056317921225141,0.9391631050925991,0.0771314210577153,100
100,0.004677099772914,0.949840559255438,0.0051937328682024,0.9440100695524452,0.0773866131873362,100
150,0.0032609753746055,0.9653029014660958,0.0040697516814627,0.956445318028244,0.0780240441012333,100
200,0.0024563159136404,0.9739794333513848,0.0032538868991462,0.9653305260607034,0.0781783885366632,100
250,0.0020312236299867,0.9785320884794378,0.0029072927857876,0.9691161168050012,0.0782254529476851,100
300,0.001653651690141,0.982558121313596,0.0025426196059876,0.9730346500907698,0.0782243299862145,100
2,0.0361795754434205,0.4919228943022978,0.0372255638411575,0.475199937912292,0.0486889635416694,80
3,0.0326024304741889,0.5629674374724528,0.0335425378013254,0.5500327362310449,0.0552724614233093,80
4,0.0340390920494196,0.5355661875152984,0.0347529147942624,0.5264230392042685,0.0588966260548617,80
5,0.029437786027351,0.6190608969127678,0.0302754067807736,0.6085624601243952,0.0577150984147531,80
6,0.0291220985455293,0.6243794604671197,0.0296177367248319,0.6196396841777234,0.0578402365274063,80
7,0.0256103240910421,0.6807542929865261,0.0256240785771305,0.6834902318688099,0.0608031276549367,80
8,0.0243331665857082,0.7001321182239072,0.024728699553249,0.6968776920162388,0.0639879844372778,80
9,0.0259463266824664,0.6755646463515926,0.0265166892669064,0.6696540135553594,0.0628367135742025,80
