['CFLAR'],[[1.03441706]],[[2.04367008]],[[2.2928558]],[[2.23053568]],[[2.14455489]],[[1.77019238]],[[1.50095839]],[[1.23806943]],[[1.18008978]],[[1.06630404]],[[0.84003819]],[[1.02534307]],[[0.84546046]]
['ATP11A'],[[1.12665475]],[[2.03559264]],[[2.14886556]],[[2.06616634]],[[2.04073587]],[[1.61287038]],[[1.43944413]],[[1.2998942]],[[1.26304568]],[[1.24633414]],[[1.08826299]],[[1.20397879]],[[1.06459201]]
['RAB27A'],[[1.02434084]],[[1.95565704]],[[1.94418825]],[[1.85242381]],[[2.03834087]],[[1.5967832]],[[1.29789641]],[[1.1671733]],[[1.04910074]],[[0.980313]],[[0.81328648]],[[0.96393698]],[[0.82282894]]
['JMJD6'],[[1.01361884]],[[2.17794287]],[[2.28638258]],[[2.15498818]],[[2.18223981]],[[1.62829906]],[[1.20619089]],[[1.096943]],[[1.25233792]],[[1.06995664]],[[0.96176901]],[[1.11762132]],[[0.924509]]
['MAP4K4'],[[1.12303615]],[[1.92210287]],[[1.97895991]],[[1.9367097]],[[1.93587945]],[[1.60118081]],[[1.33263571]],[[1.14694283]],[[1.16908968]],[[1.18884646]],[[0.88697667]],[[1.01262174]],[[0.87908533]]
['UBE2D1'],[[0.95865123]],[[2.37683203]],[[2.25964285]],[[2.17789112]],[[2.43767538]],[[2.23260608]],[[1.73811763]],[[1.49566582]],[[1.44441725]],[[1.08062811]],[[1.09598125]],[[1.26373627]],[[1.04122398]]
['ALPK1'],[[0.9945399]],[[1.95622383]],[[2.09333673]],[[2.06324764]],[[2.10018824]],[[2.05421508]],[[1.58234499]],[[1.2328845]],[[1.2235693]],[[0.98065229]],[[0.83300596]],[[0.98875087]],[[0.78084841]]
['VPS9D1'],[[1.07235174]],[[2.27838923]],[[2.59670371]],[[2.63439204]],[[2.49573264]],[[2.02698646]],[[1.57632827]],[[1.31108586]],[[1.61997234]],[[1.22044278]],[[1.01182549]],[[1.319815]],[[0.99626763]]
['FNDC3B'],[[1.05057593]],[[2.02698275]],[[2.30505075]],[[2.41927461]],[[2.4319648]],[[1.78033983]],[[1.45508855]],[[1.32825998]],[[1.36447965]],[[1.18998035]],[[0.93814441]],[[1.149884]],[[0.96749803]]
['FOSL2'],[[0.86232529]],[[2.24975731]],[[2.38748693]],[[2.37282686]],[[2.32763725]],[[1.89274112]],[[1.48370672]],[[1.34232751]],[[1.312631]],[[1.16992662]],[[0.97244917]],[[1.12485171]],[[0.95692304]]
['RAB7A'],[[1.03792637]],[[1.98637174]],[[2.05710523]],[[1.97278245]],[[1.90519247]],[[1.46573361]],[[1.33291226]],[[1.26349086]],[[1.20350857]],[[1.07905344]],[[0.91757746]],[[1.05891126]],[[0.93258648]]
['NT5C2'],[[1.03220214]],[[1.91709164]],[[2.01183389]],[[1.91301019]],[[1.89848401]],[[1.55573897]],[[1.28935654]],[[1.10820572]],[[1.04113113]],[[1.10824623]],[[0.86169145]],[[0.99200083]],[[0.83447177]]
['APBB1IP'],[[0.97924876]],[[1.9488078]],[[2.04932429]],[[2.00165509]],[[1.99500949]],[[1.9364387]],[[1.49015399]],[[1.31143796]],[[1.2691611]],[[1.02598341]],[[0.80512145]],[[0.96322196]],[[0.79604579]]
['RSBN1'],[[1.07620836]],[[2.16475902]],[[2.07823677]],[[2.01718881]],[[2.15455365]],[[1.51149268]],[[0.97122133]],[[0.91176748]],[[0.95549547]],[[0.8941534]],[[0.97278622]],[[1.12082767]],[[0.99919904]]
['STK17B'],[[1.3788796]],[[1.94484765]],[[1.92694685]],[[1.89809159]],[[2.09382184]],[[1.47712572]],[[1.13552107]],[[1.0179252]],[[0.96525362]],[[1.09709016]],[[0.9310559]],[[1.1009313]],[[0.97613317]]
['ZMPSTE24'],[[1.13107124]],[[2.05884934]],[[1.91832375]],[[1.80385633]],[[1.81395001]],[[1.41946981]],[[1.20774375]],[[1.16528812]],[[1.00216712]],[[1.15035649]],[[0.87843866]],[[1.00426794]],[[0.89990102]]
