['NDUFAF7'],[[0.84954759]],[[1.60996168]],[[1.64187681]],[[1.68035446]],[[1.68372045]],[[1.58672333]],[[1.05762062]],[[0.83858884]],[[0.90365146]],[[0.94334394]],[[0.98441255]],[[1.06531272]],[[0.9452677]]
['CREBBP'],[[1.06546563]],[[1.61901055]],[[1.71788035]],[[1.6516043]],[[1.593734]],[[1.23944789]],[[1.18743786]],[[1.09977249]],[[1.05922986]],[[1.13140135]],[[0.93250029]],[[1.06201368]],[[0.91998662]]
['NADK'],[[0.95215424]],[[1.52093516]],[[1.6563848]],[[1.64719613]],[[1.50962142]],[[1.47729752]],[[1.32774554]],[[1.16643376]],[[1.16602478]],[[1.11960424]],[[0.86952121]],[[1.03030868]],[[0.87443009]]
['ZNF200'],[[0.8614376]],[[1.61823675]],[[1.58624757]],[[1.58184297]],[[1.46091332]],[[1.26818106]],[[1.03096017]],[[0.97627923]],[[0.99125535]],[[1.05423146]],[[0.90482384]],[[1.09009792]],[[0.91567612]]
['MVP'],[[1.01036107]],[[1.76483521]],[[1.91159274]],[[1.87214382]],[[1.7428288]],[[1.63203665]],[[1.4169101]],[[1.2589484]],[[1.32189538]],[[1.11164223]],[[0.9650096]],[[1.17154767]],[[0.98065718]]
['ZC3H3'],[[1.08230314]],[[1.47168383]],[[1.64397312]],[[1.60426537]],[[1.47709111]],[[1.19112337]],[[1.14793689]],[[1.13249785]],[[1.24297715]],[[1.10941844]],[[1.01223088]],[[1.21040162]],[[1.04988994]]
['SLC45A4'],[[1.04785761]],[[1.71673303]],[[1.86196849]],[[1.82323299]],[[1.62551679]],[[1.30990542]],[[1.2300961]],[[1.06483949]],[[1.04930139]],[[1.13895575]],[[0.69871625]],[[0.79794067]],[[0.71251239]]
['RB1CC1'],[[1.02022291]],[[1.86501244]],[[1.83485509]],[[1.73179865]],[[1.82520556]],[[1.42806073]],[[1.09705226]],[[0.9844872]],[[0.97577976]],[[1.03280584]],[[0.90529567]],[[1.00629693]],[[0.89376245]]
['NSMAF'],[[1.07481433]],[[1.61702901]],[[1.64328472]],[[1.64118403]],[[1.66404353]],[[1.22025456]],[[1.12563453]],[[1.03787616]],[[1.00730346]],[[0.93626635]],[[1.00769744]],[[1.16979346]],[[1.01734982]]
['CELF2'],[[1.2217324]],[[1.75669586]],[[1.75563268]],[[1.69797297]],[[1.59569273]],[[1.29917566]],[[1.17568664]],[[1.02680985]],[[1.03498832]],[[1.05603195]],[[0.90256214]],[[1.01748051]],[[0.87922072]]
['H6PD'],[[1.16697668]],[[1.75655024]],[[1.89470401]],[[1.81409022]],[[1.94120559]],[[1.30109171]],[[1.15786943]],[[1.07475187]],[[1.21192943]],[[0.98794512]],[[1.19578265]],[[1.35430171]],[[1.19072424]]
