['AHRR'],[[1.57064124]],[[1.31600479]],[[0.85811354]],[[1.10641604]],[[0.46622815]],[[1.20964535]],[[1.14448581]],[[1.17424265]],[[0.4967057]],[[0.91087587]],[[1.01023832]],[[2.28643655]],[[2.69941894]]
['SPAG6'],[[2.74247436]],[[2.65119279]],[[2.65130022]],[[2.24719187]],[[2.23865089]],[[3.01988729]],[[2.56519759]],[[2.42134759]],[[1.87633877]],[[1.71742294]],[[1.96661611]],[[1.68415141]],[[1.67266399]]
['DHDH'],[[1.17946469]],[[1.12018471]],[[1.74317179]],[[1.80668947]],[[1.96087787]],[[0]],[[0.40913641]],[[0.78753164]],[[0.53130626]],[[0.46614611]],[[0.87287846]],[[1.24672508]],[[0.72310972]]
['TPD52L1'],[[1.17946469]],[[0.66618759]],[[0]],[[0.70008127]],[[1.40769867]],[[0.5598045]],[[0]],[[0]],[[0.53130626]],[[0.46614611]],[[0.6452656]],[[0.59600594]],[[0.29148918]]
['IFIT3'],[[0.76516161]],[[1.0625983]],[[1.10137116]],[[1.00390939]],[[0.85467734]],[[0.7002987]],[[0.68108303]],[[0.77367865]],[[0.72719276]],[[0.84806596]],[[0.57840969]],[[1.02868934]],[[0.74169048]]
['CXCL6'],[[1.25091323]],[[1.08433311]],[[1.28725706]],[[1.82991731]],[[1.30175134]],[[1.67715115]],[[1.1711724]],[[0.67273944]],[[0.78957871]],[[1.35633018]],[[1.14545654]],[[1.29431404]],[[0.93280262]]
['C3'],[[0.99998269]],[[0.51425789]],[[0.65174105]],[[0.68501209]],[[0.45270571]],[[0.54720968]],[[0.88810487]],[[0.79570962]],[[1.24598908]],[[0.9924895]],[[1.89645395]],[[1.70291095]],[[1.99826231]]
['IFI6'],[[0.83118107]],[[1.05751702]],[[1.02253889]],[[0.93079733]],[[0.82685015]],[[0.52786341]],[[0.81363701]],[[0.71062462]],[[0.86273167]],[[0.86493515]],[[0.6685626]],[[1.33699124]],[[0.97448336]]
['CHI3L1'],[[0.93729982]],[[1.46430012]],[[1.64189542]],[[1.6666115]],[[1.41470429]],[[1.10284624]],[[0.55906883]],[[0.560392]],[[0.80285347]],[[1.16064599]],[[0.87591226]],[[0.80319554]],[[0.84485673]]
['RSAD2'],[[0.78774945]],[[0.69680884]],[[0.59518499]],[[0.65830095]],[[0.43704936]],[[0.33797709]],[[0.52426639]],[[0.70644114]],[[0.88444447]],[[0.79526418]],[[0.66024021]],[[1.79165956]],[[0.94480455]]
['NOV'],[[1.20124496]],[[1.1546282]],[[1.33790165]],[[0.99918318]],[[0.94219257]],[[0.43149964]],[[0.49522888]],[[0.76131886]],[[0.84830705]],[[1.24839055]],[[1.00514722]],[[1.01601931]],[[0.94208913]]
['HERC5'],[[0.73059646]],[[1.02138134]],[[0.93431369]],[[0.94563957]],[[0.70866142]],[[0.70860924]],[[0.58075722]],[[0.64479115]],[[0.69727636]],[[0.68280309]],[[0.64286421]],[[1.19416711]],[[0.83630954]]
['SLC27A2'],[[0.85851216]],[[1.09209111]],[[0.81115767]],[[0.85044141]],[[0.69592781]],[[0.68662858]],[[0.9881735]],[[0.89202803]],[[1.16369376]],[[1.15443678]],[[1.04135064]],[[1.45360502]],[[1.16550605]]
['RPL3L'],[[0.52392243]],[[0.74602204]],[[0.34583773]],[[0.7829855]],[[0.8180207]],[[0.40947437]],[[0.68287573]],[[1.00388597]],[[1.01968058]],[[0.91087588]],[[0.26693718]],[[0.62118794]],[[0.78561651]]
['MX1'],[[0.85438795]],[[0.93949307]],[[0.96711098]],[[0.93271561]],[[0.71443478]],[[0.88191835]],[[0.68469282]],[[0.71971023]],[[0.71239565]],[[0.86114849]],[[0.69184454]],[[1.32715149]],[[0.97827115]]
['BATF2'],[[1.02296928]],[[1.34925142]],[[1.04558707]],[[1.35891524]],[[1.03499428]],[[0.53926429]],[[0.77688933]],[[0.63280189]],[[0.8061881]],[[0.72583094]],[[0.95422607]],[[1.1641326]],[[1.12150001]]
