['SLC4A1'],[[1.17168445]],[[1.03309549]],[[0.98294014]],[[1.03240547]],[[0.8504186]],[[1.17677672]],[[1.07353647]],[[1.76549137]],[[2.3853799]],[[1.88882337]],[[1.5164228]],[[1.80484485]],[[1.74157323]]
['ITGA2B'],[[1.19501846]],[[1.09298097]],[[1.09591998]],[[1.07328837]],[[0.97383328]],[[1.24776059]],[[1.42397744]],[[2.41969474]],[[2.25777833]],[[1.90180053]],[[1.20870801]],[[1.06615156]],[[1.00746904]]
['NFIX'],[[1.13750694]],[[0.96484901]],[[0.98745591]],[[1.03660722]],[[0.82706107]],[[1.06290398]],[[1.122558]],[[1.82841622]],[[2.41380986]],[[1.71379193]],[[1.41932322]],[[1.81920267]],[[1.73337587]]
['RNF10'],[[1.09148653]],[[1.4560647]],[[1.52778034]],[[1.53193954]],[[1.43769652]],[[1.57182234]],[[1.18675355]],[[1.61194365]],[[2.12227469]],[[1.6924651]],[[1.50605908]],[[1.72717897]],[[1.5899827]]
['ANK1'],[[1.06913405]],[[0.99880778]],[[0.95576752]],[[0.94331099]],[[0.79350126]],[[1.06721838]],[[1.24057675]],[[1.9180991]],[[2.29449543]],[[1.63679661]],[[1.41185879]],[[1.71993361]],[[1.68300047]]
['XK'],[[1.11231016]],[[0.88283585]],[[0.90621879]],[[0.91450249]],[[0.79677154]],[[0.95358184]],[[1.12218791]],[[1.8973446]],[[2.32671941]],[[1.61688649]],[[1.31641346]],[[1.42082003]],[[1.35149468]]
['MAOB'],[[1.16882359]],[[0.80017655]],[[0.80023115]],[[1.30993702]],[[1.03145568]],[[1.55884557]],[[1.9631944]],[[2.40582541]],[[1.93055692]],[[2.12845992]],[[1.07820674]],[[0.96750998]],[[0.88703453]]
['SPTB'],[[1.18733444]],[[1.01613379]],[[0.97948109]],[[1.01432632]],[[0.87249711]],[[1.3578128]],[[1.37601793]],[[1.76200878]],[[2.22093667]],[[1.86425637]],[[1.4303696]],[[1.62137546]],[[1.57404396]]
['IGF2BP2'],[[1.06413885]],[[0.95444817]],[[0.93494205]],[[0.98520749]],[[0.85182316]],[[0.93524343]],[[0.85275972]],[[1.40643537]],[[1.99417973]],[[1.92503363]],[[1.25003361]],[[1.46769319]],[[1.43295396]]
['NOTCH3'],[[1.3078642]],[[1.12018453]],[[1.65629548]],[[1.16940735]],[[2.43519166]],[[2.05674396]],[[2.45448447]],[[2.00916596]],[[2.23582139]],[[1.77214895]],[[1.17015691]],[[1.81690574]],[[1.27226876]]
['RAP1GAP'],[[1.12193183]],[[1.73292945]],[[1.04016761]],[[1.59631149]],[[1.02961227]],[[0.9760716]],[[1.17574841]],[[2.63878111]],[[3.95225029]],[[3.36974882]],[[3.00397788]],[[5.22873981]],[[5.26754338]]
['TNS1'],[[1.11152092]],[[0.9690722]],[[0.97145303]],[[0.96909061]],[[0.80212652]],[[1.09647888]],[[1.17497623]],[[1.83484179]],[[2.26980577]],[[1.61418442]],[[1.72661477]],[[1.92982741]],[[1.90689316]]
['ACHE'],[[1.11070816]],[[1.05376164]],[[0.66623459]],[[0.60454289]],[[0.75600378]],[[0.90236498]],[[0.72751234]],[[2.13374546]],[[3.41234783]],[[2.9755303]],[[1.78559365]],[[2.09850616]],[[2.05798264]]
['CETP'],[[1.24509243]],[[1.1201844]],[[1.1628967]],[[1.02927179]],[[1.13351844]],[[1.14503232]],[[1.38018679]],[[1.75704671]],[[1.89564861]],[[1.45288716]],[[0.88404295]],[[0.89347242]],[[0.82386918]]
['PLEK2'],[[1.30984447]],[[1.21735393]],[[1.1202535]],[[1.08970372]],[[1.07487156]],[[1.4719355]],[[1.14129647]],[[2.0244747]],[[2.18508415]],[[2.60440867]],[[2.25145395]],[[2.56372108]],[[2.34560268]]
['MYL9'],[[1.06697288]],[[1.03227314]],[[1.03046866]],[[0.97924826]],[[0.90047721]],[[1.00887891]],[[0.94556222]],[[1.74365326]],[[2.03547334]],[[1.76351624]],[[0.90117112]],[[0.87224643]],[[0.72296285]]
['E2F1'],[[1.56907648]],[[0.91097111]],[[1.13166472]],[[1.29892424]],[[0.97552398]],[[1.25119112]],[[1.38167099]],[[2.6186055]],[[2.2244122]],[[1.73211273]],[[0.88171747]],[[1.04758775]],[[0.92698446]]
['SLC7A5'],[[1.51218087]],[[1.50989525]],[[1.48867676]],[[1.44378281]],[[1.26474633]],[[1.00165021]],[[1.12347432]],[[1.68206603]],[[2.11649747]],[[2.06221096]],[[1.62019415]],[[1.92415425]],[[1.83872826]]
['CRYM'],[[1.7534926]],[[0]],[[1.86440066]],[[2.247192]],[[1.16340344]],[[0.7749276]],[[3.43785625]],[[3.57189276]],[[3.62685324]],[[2.32332667]],[[0.94147203]],[[2.07992945]],[[1.32229011]]
['TSTA3'],[[0.8616046]],[[0.72128519]],[[0.69454886]],[[0.73883374]],[[0.65139646]],[[0.60008488]],[[0.65892666]],[[1.84191016]],[[2.40977076]],[[1.7995846]],[[0.84379384]],[[1.16711132]],[[0.99803054]]
['TSPO2'],[[0.66340142]],[[1.23531297]],[[0.96207547]],[[0.19426052]],[[0.65282073]],[[0.98885247]],[[0.93206505]],[[1.27757362]],[[2.54327509]],[[1.55405354]],[[1.44557058]],[[1.8989715]],[[1.57534099]]
['IGFBP2'],[[1.81960853]],[[1.86430806]],[[1.74317195]],[[1.67178595]],[[2.57516916]],[[1.75289725]],[[3.41586356]],[[3.85131894]],[[3.17221013]],[[2.90381771]],[[2.12524328]],[[1.94399751]],[[1.84946196]]
['FHL2'],[[1.0814161]],[[0.95016515]],[[0.98838579]],[[0.68367498]],[[1.25442284]],[[1.14604265]],[[0.76073765]],[[1.95721561]],[[2.27798211]],[[1.746654]],[[1.36778366]],[[1.37079834]],[[1.32180234]]
['CTNNAL1'],[[0.99385116]],[[1.1054669]],[[1.17485284]],[[0.80463033]],[[0.97099095]],[[1.03417547]],[[0.81704301]],[[1.3858694]],[[1.76564637]],[[1.95364219]],[[1.20159958]],[[1.29289307]],[[1.19369182]]
['MXI1'],[[1.04014584]],[[0.98130184]],[[0.95314151]],[[0.9816638]],[[0.82389779]],[[1.02480052]],[[0.85667066]],[[1.22131187]],[[1.85111622]],[[2.09278694]],[[1.23966028]],[[1.3623681]],[[1.30388558]]
['CLU'],[[1.19649209]],[[1.12062598]],[[1.18755348]],[[1.14743767]],[[1.03072447]],[[1.38423291]],[[1.50391518]],[[1.91750493]],[[1.91431713]],[[1.52164276]],[[1.21813552]],[[1.14489647]],[[1.09641379]]
['FAM210B'],[[1.0942912]],[[0.97382514]],[[0.91418726]],[[0.97855757]],[[0.85960308]],[[1.02886268]],[[0.77498168]],[[1.40068946]],[[2.27236522]],[[1.78856467]],[[1.48804315]],[[1.61790743]],[[1.59860983]]
['BEST3'],[[0.81471966]],[[1.04010197]],[[0.43526117]],[[0.45917745]],[[0.3195836]],[[1.43650848]],[[1.47020355]],[[2.36145291]],[[1.87633933]],[[1.81448195]],[[0.94596881]],[[0.97511007]],[[0.62580662]]
['VIL1'],[[1.20893787]],[[1.08243792]],[[1.05086885]],[[1.03055122]],[[0.93840789]],[[1.02774197]],[[1.73033302]],[[2.07406261]],[[1.70703935]],[[1.58493204]],[[1.17949795]],[[1.06005243]],[[1.01764882]]
['CNN1'],[[1.07506078]],[[1.05376164]],[[1.05382756]],[[0.95374521]],[[0.69592777]],[[1.27632268]],[[1.027381]],[[1.22108347]],[[1.51356843]],[[1.87574029]],[[0.35485439]],[[0.34867508]],[[0.3685592]]
['SLC6A8'],[[1.12262154]],[[0.97028326]],[[0.94031602]],[[1.00509483]],[[0.76541529]],[[1.07137827]],[[1.03570059]],[[1.51670418]],[[2.06780207]],[[1.75093535]],[[1.43629516]],[[1.6931145]],[[1.65529429]]
['MPP1'],[[1.10483276]],[[1.32580501]],[[1.32340287]],[[1.35764299]],[[1.20306258]],[[1.3878438]],[[1.25584659]],[[1.7325637]],[[2.15145925]],[[1.59312122]],[[1.40075245]],[[1.62234485]],[[1.49183992]]
['RBM38'],[[1.15198231]],[[1.00839092]],[[0.97628342]],[[1.02980157]],[[0.83268201]],[[1.19185016]],[[1.16932466]],[[1.66658148]],[[2.16357425]],[[1.73009785]],[[1.67455773]],[[2.0700523]],[[1.99858524]]
['TMCC2'],[[1.12542262]],[[0.99880877]],[[0.90993933]],[[0.92067544]],[[0.77151053]],[[0.96945094]],[[1.06688914]],[[1.7346207]],[[2.00056754]],[[1.46938965]],[[1.39928792]],[[1.65286735]],[[1.60978522]]
['CA1'],[[1.04506324]],[[0.94024177]],[[0.91103098]],[[0.95374547]],[[0.83295913]],[[0.90053695]],[[1.03520251]],[[2.09679243]],[[3.75439161]],[[1.81307588]],[[1.99322551]],[[2.09815717]],[[2.0865411]]
['SPOCD1'],[[1.6072578]],[[1.21441451]],[[1.18375484]],[[1.29712775]],[[1.07968215]],[[1.41814232]],[[1.74018269]],[[2.55609355]],[[2.3346358]],[[1.67497207]],[[0.9085174]],[[1.02758675]],[[0.99990474]]
['KCNH3'],[[1.13163125]],[[0.70461664]],[[0.91595315]],[[0.60382194]],[[0.52044824]],[[1.6308618]],[[1.52306199]],[[1.61685346]],[[1.82565385]],[[1.46150181]],[[0.83633881]],[[1.04562606]],[[0.90080817]]
['TMOD1'],[[1.11781484]],[[1.04633659]],[[0.97402773]],[[1.03041683]],[[0.88586753]],[[1.10967159]],[[0.88505757]],[[1.52373026]],[[2.46680038]],[[1.95298113]],[[1.52798803]],[[1.73450831]],[[1.56079497]]
['GMPR'],[[1.19448034]],[[1.08864189]],[[1.07111393]],[[1.08411705]],[[0.91806185]],[[0.99083742]],[[1.03962221]],[[1.97549026]],[[2.73261029]],[[1.79034989]],[[1.6357159]],[[2.05896652]],[[1.91614148]]
['TUBB2A'],[[1.15639122]],[[1.01936721]],[[1.01943165]],[[1.02088599]],[[0.9308563]],[[1.20056979]],[[1.24787006]],[[1.56142111]],[[2.53137917]],[[2.2089654]],[[0.9676683]],[[1.13959614]],[[1.04894973]]
['PCSK6'],[[1.17579749]],[[1.13568121]],[[1.17309815]],[[1.15476499]],[[1.07971095]],[[1.39455541]],[[1.52323193]],[[2.27555188]],[[1.85712543]],[[1.67293418]],[[1.39565966]],[[1.26632796]],[[1.23141671]]
['TGFB1I1'],[[1.21012574]],[[0.93671812]],[[1.10519365]],[[0.75245214]],[[0.81802076]],[[0.92793844]],[[1.28550546]],[[2.27293929]],[[2.03847017]],[[1.74609728]],[[1.37128122]],[[1.26579168]],[[1.20799382]]
['SLC14A1'],[[1.16811731]],[[0.86838823]],[[0.89879649]],[[0.91835267]],[[0.84804883]],[[1.01866417]],[[0.86554401]],[[1.69964182]],[[2.53258484]],[[1.93548389]],[[1.56292408]],[[1.76961358]],[[1.74775145]]
['SELENBP1'],[[1.06600595]],[[0.93843396]],[[0.906163]],[[1.0028107]],[[0.84980484]],[[0.9313135]],[[0.97448463]],[[1.73931193]],[[2.48835952]],[[1.51109038]],[[1.48355164]],[[1.92643369]],[[1.73253265]]
['DYRK3'],[[0.7752794]],[[0.91097095]],[[1.03242639]],[[1.0789939]],[[0.76334069]],[[1.0472984]],[[1.19602118]],[[2.04662595]],[[2.6556039]],[[2.1481947]],[[1.90415012]],[[2.07954975]],[[2.0870424]]
['CORIN'],[[0.56007674]],[[1.21441468]],[[0.73143656]],[[0.30360376]],[[0.20786964]],[[0.77492764]],[[3.22669523]],[[2.71853402]],[[2.00192816]],[[1.28113654]],[[2.18813885]],[[1.80814924]],[[1.37287972]]
['RAB6B'],[[1.12686829]],[[1.1692758]],[[0.9282473]],[[0.89904085]],[[0.81802079]],[[0.97107043]],[[0.89992394]],[[1.93734477]],[[2.35328933]],[[1.90240488]],[[1.106404]],[[1.23426921]],[[1.16515425]]
