['FGR'],[[1.02289744]],[[1.72693604]],[[1.83526595]],[[1.83288643]],[[1.85437527]],[[1.91870676]],[[1.72925234]],[[1.30991769]],[[1.30390008]],[[1.13070411]],[[1.02832788]],[[1.22842018]],[[1.02424481]]
['LAMP2'],[[1.01827484]],[[1.85035708]],[[1.76697673]],[[1.68069394]],[[1.78081825]],[[1.59406094]],[[1.32228246]],[[1.18373834]],[[1.06537786]],[[1.105825]],[[0.83795449]],[[0.95942567]],[[0.82151291]]
['KDM7A'],[[1.03634007]],[[1.55775376]],[[1.56928163]],[[1.52520707]],[[1.63149452]],[[1.53878354]],[[1.15376654]],[[1.04823861]],[[1.04937697]],[[1.07961045]],[[1.01945575]],[[1.07360728]],[[0.93335909]]
['IFRD1'],[[0.98073337]],[[1.69980935]],[[1.73700404]],[[1.74596488]],[[1.79713295]],[[1.64399206]],[[1.24816409]],[[1.09646704]],[[1.09808605]],[[1.1172751]],[[0.98105556]],[[1.09229836]],[[0.87850687]]
['CDKL5'],[[1.09766757]],[[1.77742046]],[[1.84792724]],[[1.79634934]],[[1.81673448]],[[1.68866913]],[[1.41017892]],[[1.21311636]],[[1.04376432]],[[1.11246829]],[[0.9943612]],[[1.06804475]],[[0.92564813]]
['TYROBP'],[[1.04765039]],[[1.60423235]],[[1.69381072]],[[1.64958435]],[[1.57213373]],[[1.47416577]],[[1.46972291]],[[1.34663076]],[[1.41285737]],[[1.19965854]],[[0.87007831]],[[1.08584088]],[[0.91097959]]
['SEMA3B'],[[1.14813754]],[[1.8003006]],[[1.94273325]],[[1.59355784]],[[1.60152005]],[[1.18671661]],[[1.5319064]],[[1.57669745]],[[1.43959651]],[[1.38608003]],[[0.53372908]],[[0.7870809]],[[0.62146958]]
['EXTL3'],[[1.24219805]],[[1.87619029]],[[2.03261491]],[[1.97266361]],[[1.90116935]],[[1.36906415]],[[1.29997566]],[[1.156394]],[[1.05685679]],[[1.24760706]],[[0.8622397]],[[0.98753566]],[[0.86483102]]
['WAS'],[[1.12011321]],[[1.75789163]],[[1.91988004]],[[1.83776302]],[[1.69091819]],[[1.40384395]],[[1.36650217]],[[1.27271187]],[[1.27648343]],[[1.15793654]],[[0.94288338]],[[1.09794171]],[[0.93371892]]
['RTFDC1'],[[1.09723881]],[[1.72214917]],[[1.77475716]],[[1.71285417]],[[1.69393413]],[[1.45292288]],[[1.2027037]],[[1.14733807]],[[1.10979614]],[[1.06084388]],[[0.92893657]],[[1.06991461]],[[0.93060166]]
['RRAGD'],[[1.0821358]],[[1.71745237]],[[1.72762485]],[[1.58984207]],[[1.56116334]],[[1.55569421]],[[1.37577147]],[[1.30339582]],[[1.30443237]],[[1.26647846]],[[0.85907642]],[[0.93129341]],[[0.81101084]]
['HMGB3'],[[1.62626604]],[[1.58273477]],[[1.84095609]],[[2.16920023]],[[2.69049498]],[[1.75289728]],[[2.18307971]],[[1.56585076]],[[1.68982913]],[[1.57693511]],[[1.04082089]],[[1.25342313]],[[1.22194893]]
['GRN'],[[1.07017141]],[[1.63889457]],[[1.71692244]],[[1.63639358]],[[1.6554877]],[[1.61178795]],[[1.65907718]],[[1.60206011]],[[1.56609837]],[[1.3950575]],[[1.04563022]],[[1.20042887]],[[1.02600353]]
['TIMP2'],[[1.0847862]],[[1.97085579]],[[2.05467274]],[[1.9260613]],[[1.83145456]],[[1.62191111]],[[1.55491833]],[[1.40560621]],[[1.41949943]],[[1.21382603]],[[0.94450938]],[[1.09724515]],[[0.92537099]]
['CAPG'],[[0.92576035]],[[1.60406287]],[[1.62354507]],[[1.55612429]],[[1.76958232]],[[1.68780157]],[[1.70064714]],[[1.47114902]],[[1.41375604]],[[1.16889399]],[[1.00551334]],[[1.255657]],[[1.07460581]]
['PHKA2'],[[1.04800664]],[[1.70740023]],[[1.78264053]],[[1.69021356]],[[1.57516616]],[[1.53206928]],[[1.3765412]],[[1.20937237]],[[1.1353153]],[[1.07949202]],[[0.93048656]],[[1.05419319]],[[0.90565642]]
['WWC3'],[[1.01063981]],[[1.63414824]],[[1.76351551]],[[1.72104839]],[[1.55956671]],[[1.27329272]],[[1.23220241]],[[1.13373996]],[[1.21745963]],[[1.13892606]],[[0.90438452]],[[1.03182249]],[[0.87373919]]
['HEBP2'],[[0.9635771]],[[1.9398122]],[[1.99040651]],[[1.95307988]],[[1.86061274]],[[1.61390648]],[[1.39655183]],[[1.14417545]],[[1.09660289]],[[1.11388131]],[[0.96789087]],[[1.17774896]],[[0.99435482]]
['PPP1R12A'],[[1.04954508]],[[1.68124119]],[[1.72780044]],[[1.6878639]],[[1.75325485]],[[1.66194705]],[[1.22329356]],[[1.06046451]],[[1.02349504]],[[1.00200191]],[[0.87525312]],[[1.00898347]],[[0.86774255]]
['TBXAS1'],[[1.10987166]],[[1.78473015]],[[1.89112593]],[[1.78904296]],[[1.61763254]],[[1.45898032]],[[1.47907125]],[[1.25623115]],[[1.21227495]],[[1.19674426]],[[0.95483933]],[[1.0951908]],[[0.92544197]]
['LPAR2'],[[1.12453972]],[[1.8674981]],[[2.07990498]],[[2.09393995]],[[1.84957556]],[[1.66687928]],[[1.63874313]],[[1.27099063]],[[1.25253067]],[[1.25375643]],[[0.81604025]],[[1.0106026]],[[0.86232324]]
['CNN2'],[[1.04298896]],[[1.73059207]],[[1.81518984]],[[1.73810307]],[[1.55711062]],[[1.50425945]],[[1.30201931]],[[1.21664038]],[[1.23369145]],[[1.13439042]],[[0.89607035]],[[1.12066328]],[[0.90448157]]
['FAR2'],[[1.03245417]],[[1.75644083]],[[1.82250867]],[[1.68156488]],[[1.53827993]],[[1.18596174]],[[1.46531696]],[[1.1646647]],[[0.99964765]],[[1.05037866]],[[0.68705572]],[[0.8460716]],[[0.71717856]]
['GNAI3'],[[0.8906878]],[[1.45327008]],[[1.48023816]],[[1.36619235]],[[1.54870824]],[[1.60208069]],[[1.40471749]],[[1.19217936]],[[1.0598847]],[[0.98732661]],[[0.88657606]],[[1.02938175]],[[0.86311057]]
['OAT'],[[0.9879783]],[[1.4358475]],[[1.44082686]],[[1.46100719]],[[1.63004206]],[[1.45253124]],[[1.21598137]],[[1.10554145]],[[1.19188884]],[[1.02898141]],[[0.93147356]],[[1.14354943]],[[0.97867323]]
['PYGM'],[[1.05162992]],[[1.58066163]],[[1.74845938]],[[1.82411547]],[[1.44371997]],[[1.37073527]],[[1.61840181]],[[1.44474996]],[[1.20647951]],[[1.09238426]],[[0.8284881]],[[0.90092615]],[[0.780444]]
['NEDD4'],[[1.02674526]],[[1.49123111]],[[1.57343506]],[[1.43218084]],[[1.83908171]],[[1.69176384]],[[1.11614437]],[[1.08974022]],[[1.2820282]],[[0.90503344]],[[0.92152577]],[[1.05860538]],[[0.96494145]]
['CLTCL1'],[[1.05302534]],[[1.52709206]],[[1.59502172]],[[1.42220539]],[[1.53579293]],[[1.28878723]],[[1.35358388]],[[1.26002934]],[[1.19512833]],[[1.11930702]],[[0.86119585]],[[0.93009611]],[[0.7907962]]
['WIPI1'],[[1.17747264]],[[1.58697395]],[[1.67615541]],[[1.6286683]],[[1.65035642]],[[1.5458202]],[[1.26284879]],[[1.39003571]],[[1.50985856]],[[1.32932012]],[[1.22067593]],[[1.30649379]],[[1.17015606]]
