['AHRR'],[[1.92490267]],[[1.39008084]],[[1.4339528]],[[1.50081712]],[[1.35569929]],[[1.6130535]],[[1.3561762]],[[1.27491981]],[[1.18733437]],[[1.9257801]],[[1.34071416]],[[1.21839255]],[[3.21798703]]
['SPAG6'],[[0.6297167]],[[0]],[[1.40112761]],[[0.5990281]],[[1.02269346]],[[1.10981504]],[[1.89921465]],[[1.44371666]],[[0.88086936]],[[1.09404991]],[[0.81619072]],[[0.32052944]],[[0.65287881]]
['DHDH'],[[1.06662127]],[[2.99038502]],[[0.79024542]],[[2.14773179]],[[1.78883389]],[[0.82547611]],[[1.02859626]],[[0.98766698]],[[0.57365072]],[[1.10674131]],[[0.90284999]],[[0.99650064]],[[0.74917273]]
['TPD52L1'],[[1.06662099]],[[1.03000326]],[[0]],[[1.6129576]],[[1.27641294]],[[0.65909313]],[[0]],[[0.9876667]],[[0.46469296]],[[0.71339648]],[[0.91469047]],[[0.58263052]],[[0.43443927]]
['IFIT3'],[[1.16448411]],[[1.27847217]],[[1.11528451]],[[1.18697457]],[[1.88274765]],[[0.96194406]],[[0.89103968]],[[1.40504692]],[[1.04703199]],[[1.57551831]],[[1.1320831]],[[3.04696843]],[[1.39182897]]
['CXCL6'],[[1.38382356]],[[1.0726713]],[[0.82560027]],[[1.4305358]],[[0.93297842]],[[1.15465305]],[[0.54482196]],[[0.23077634]],[[0.44802142]],[[1.0865518]],[[0.86442201]],[[0.71714317]],[[0.69185818]]
['C3'],[[0.44032441]],[[0.74810381]],[[0.60714561]],[[0.66159459]],[[0.77680969]],[[0.46222732]],[[0.22598]],[[0.82316668]],[[1.3210194]],[[1.58630803]],[[1.7187445]],[[0.8655898]],[[1.81581287]]
['IFI6'],[[0.89631158]],[[0.9858461]],[[0.83573296]],[[0.84734771]],[[1.74152453]],[[0.71599774]],[[0.61962488]],[[1.02048374]],[[0.97593777]],[[1.49877627]],[[0.93908819]],[[3.00674105]],[[1.32282825]]
['CHI3L1'],[[1.25668366]],[[1.56084952]],[[1.47012497]],[[1.49728351]],[[1.24891547]],[[0.69945934]],[[0.46866327]],[[0.19886406]],[[0.71432054]],[[1.35743186]],[[1.09282929]],[[0.47694683]],[[1.05651701]]
['RSAD2'],[[0.90114495]],[[0.86103122]],[[0.67348651]],[[0.6413252]],[[2.11084922]],[[0.83988772]],[[0.69445367]],[[1.33975678]],[[1.67416352]],[[1.88645703]],[[1.14141433]],[[4.43572469]],[[1.54696698]]
['NOV'],[[1.87484462]],[[1.27854043]],[[1.06324306]],[[0.9759077]],[[0.83863343]],[[0.27620409]],[[0.24265088]],[[0.33646336]],[[0.9872404]],[[1.4031815]],[[1.0679027]],[[0.89388245]],[[1.00211784]]
['HERC5'],[[0.93635587]],[[1.08649785]],[[1.12830445]],[[1.08128525]],[[1.66164064]],[[0.99543718]],[[0.80787949]],[[1.17226349]],[[0.78013427]],[[1.18683541]],[[0.91221603]],[[2.73601723]],[[1.15955919]]
['SLC27A2'],[[2.17363657]],[[1.30813199]],[[0.54186692]],[[0.51491823]],[[0.69067441]],[[0.419865]],[[0.54103574]],[[0.3170075]],[[0.68565926]],[[0.92854052]],[[0.7187894]],[[1.08375747]],[[0.81449821]]
['RPL3L'],[[0.44873263]],[[1.2566313]],[[1.29791734]],[[0]],[[2.84314441]],[[0]],[[0.60408951]],[[0.40888414]],[[3.16577342]],[[1.95852791]],[[0.94221961]],[[0.73416702]],[[2.09816346]]
['MX1'],[[0.89436549]],[[0.8869851]],[[0.80140654]],[[0.81818275]],[[1.60862363]],[[1.02886214]],[[0.67088318]],[[0.89056787]],[[0.7575356]],[[1.24813525]],[[0.85581395]],[[2.76613101]],[[1.18689839]]
['BATF2'],[[2.15790714]],[[1.64244719]],[[1.2584771]],[[1.59519372]],[[2.20432469]],[[0.96169843]],[[0.64827548]],[[1.33293361]],[[1.03166471]],[[1.88694434]],[[1.39118246]],[[2.60938389]],[[1.60181899]]
['CXCL8'],[[2.17116505]],[[0.80383302]],[[0.97432632]],[[1.04193739]],[[0.9648001]],[[0.53747584]],[[0.26825777]],[[0.33777015]],[[0.37707907]],[[1.15941831]],[[0.81564674]],[[1.10497101]],[[0.76707353]]
['SDC2'],[[2.00984902]],[[1.6248296]],[[1.31601462]],[[1.06701739]],[[0.85599911]],[[0.57806182]],[[0.41351511]],[[0.29872647]],[[0.58211489]],[[1.13205626]],[[0.6255785]],[[0.74635771]],[[0.76583859]]
['TSPEAR'],[[1.46746653]],[[1.18734072]],[[1.18301822]],[[1.04446269]],[[1.22036841]],[[0.67605981]],[[0.38067029]],[[0.2512687]],[[0.49755452]],[[1.41279607]],[[1.0443037]],[[0.40164981]],[[0.89031325]]
['FUNDC2P2'],[[1.06662116]],[[2.36963811]],[[1.67269947]],[[0]],[[1.36470245]],[[0]],[[0]],[[1.56849467]],[[2.2245833]],[[2.20623782]],[[2.14325666]],[[1.99474769]],[[3.31156165]]
['RGS7'],[[1.93148887]],[[1.99176258]],[[1.17014691]],[[1.46710779]],[[0.47692575]],[[0.22089237]],[[0.53179888]],[[0.35710171]],[[0.46248747]],[[0.80027533]],[[0.55189968]],[[1.58029458]],[[0.63589488]]
['IFIT1'],[[0.99657518]],[[0.86448605]],[[0.62584079]],[[0.64168147]],[[1.80777922]],[[1.08559175]],[[0.75282131]],[[1.29544244]],[[1.01180393]],[[1.566494]],[[1.00005289]],[[3.53308885]],[[1.4315884]]
['NEK5'],[[1.67312394]],[[1.03000326]],[[1.06629777]],[[1.02104709]],[[0.71059853]],[[0]],[[1.73988515]],[[0.9876667]],[[0.89280776]],[[0.91158541]],[[0.69783686]],[[0.99650078]],[[0.73420932]]
['FAM196B'],[[1.06662127]],[[0.76101803]],[[0.79024542]],[[0]],[[0.94701767]],[[1.10981496]],[[0.60408951]],[[1.71966958]],[[0.94552761]],[[0.81436646]],[[0.64079899]],[[1.21839254]],[[0.67872547]]
['MIR505'],[[2.91974668]],[[2.85841329]],[[3.2857605]],[[2.35545775]],[[1.72509698]],[[1.1098149]],[[1.35617614]],[[2.30214437]],[[1.62793352]],[[2.273539]],[[2.40232561]],[[2.80135096]],[[1.36787239]]
['RPL31P52'],[[0.6297166]],[[0]],[[0]],[[1.6129576]],[[1.26918202]],[[0.65909313]],[[0.83190042]],[[0.9876667]],[[0.89430734]],[[1.13021536]],[[1.63075356]],[[0.99650078]],[[0.43652136]]
['HCG20'],[[1.67312406]],[[3.22284003]],[[0]],[[3.20713271]],[[2.53699067]],[[0]],[[2.04268452]],[[0.98766687]],[[2.01235271]],[[2.2237678]],[[1.33394065]],[[1.58029511]],[[1.42380118]]
['AC067945.1'],[[1.42690427]],[[1.47836889]],[[2.08776828]],[[1.58494368]],[[1.61141412]],[[0.84332499]],[[0.73863478]],[[1.55476878]],[[0.92711517]],[[1.3516796]],[[1.29732728]],[[1.748435]],[[1.23505572]]
['AC015691.1'],[[0.9351594]],[[1.45244506]],[[0.79024526]],[[0.75382787]],[[0.84774337]],[[1.72959997]],[[1.02859626]],[[0.72710769]],[[0.49634152]],[[0.44864162]],[[0.32046008]],[[0.58263054]],[[0.62621112]]
['AC244502.1'],[[0.75811314]],[[0.41040803]],[[0.29904172]],[[0.62460166]],[[1.0718418]],[[0.38381115]],[[0.61702012]],[[0.87008382]],[[0.9750057]],[[1.22325067]],[[1.2401632]],[[1.1744305]],[[0.95848014]]
['RNU6-1294P'],[[1.06662099]],[[1.62482949]],[[3.1140954]],[[1.02104709]],[[1.39420765]],[[0]],[[1.73988515]],[[0.9876667]],[[0.95069311]],[[1.06142583]],[[0.90350125]],[[0.58263052]],[[0.9092694]]
['AC009054.1'],[[1.90161259]],[[0.60503399]],[[1.40112761]],[[1.34714843]],[[0.98360489]],[[1.29144131]],[[0.47509984]],[[1.44371666]],[[0.42388317]],[[0.53253639]],[[1.09325239]],[[0]],[[0.50585874]]
['AC026803.1'],[[2.42709344]],[[2.36963797]],[[3.70427173]],[[4.20942655]],[[3.39032784]],[[2.16173881]],[[1.35617604]],[[1.7897036]],[[1.40244282]],[[1.86639275]],[[1.90036782]],[[1.99474777]],[[1.71847885]]
['AC007598.1'],[[1.18709792]],[[1.45244506]],[[0.79024526]],[[1.24642161]],[[0.70694053]],[[1.23340315]],[[1.02859626]],[[0.98766698]],[[0.56790677]],[[0.71424343]],[[0.78247036]],[[0.73416684]],[[0.85824865]]
