['MMP25'],[[1.96597892]],[[2.63642398]],[[2.4632297]],[[2.62323096]],[[2.68308066]],[[2.05134128]],[[1.70148087]],[[1.28124919]],[[1.48654133]],[[1.68570805]],[[1.43929085]],[[0.94818956]],[[1.17763349]]
['ALOX5'],[[1.90398371]],[[2.5763717]],[[2.50014005]],[[2.67605914]],[[2.63837582]],[[2.17490582]],[[1.85374012]],[[1.35842803]],[[1.41448104]],[[1.57926142]],[[1.18503412]],[[1.01211336]],[[1.12285445]]
['VCAN'],[[1.0666655]],[[1.68653952]],[[1.93876356]],[[2.02170641]],[[2.49761323]],[[1.92773716]],[[2.18464596]],[[1.72203038]],[[1.62138442]],[[1.820249]],[[1.22977494]],[[0.99945911]],[[1.21933135]]
['COL23A1'],[[1.29828466]],[[0.76101787]],[[1.67269933]],[[0.75382793]],[[1.78804457]],[[0.82547609]],[[1.3561762]],[[1.39960463]],[[1.62819131]],[[1.66245813]],[[1.53868611]],[[1.21839255]],[[1.22773611]]
['PLXNA2'],[[1.73932634]],[[2.3180762]],[[2.102001]],[[2.14439327]],[[1.76747018]],[[1.16831602]],[[1.1992276]],[[0.83782899]],[[1.10919599]],[[1.31249159]],[[1.00101972]],[[0.83571105]],[[0.89123906]]
['RPH3A'],[[2.01273866]],[[2.64427723]],[[2.38690381]],[[2.67362112]],[[3.03762347]],[[1.92998654]],[[2.3847557]],[[2.23945941]],[[2.5958649]],[[2.1152274]],[[1.83412795]],[[1.15962403]],[[1.46903614]]
['CMTM1'],[[1.68923034]],[[2.02764694]],[[1.85908323]],[[1.97255522]],[[2.05993892]],[[1.51416471]],[[1.60809307]],[[1.35970665]],[[1.40449087]],[[1.48688836]],[[0.98066385]],[[1.14647048]],[[1.05477163]]
['MAP3K20'],[[0.8958064]],[[1.85180885]],[[2.08249922]],[[2.20115421]],[[2.33305332]],[[1.94519689]],[[2.17849034]],[[1.77384103]],[[1.9533801]],[[2.02247941]],[[1.30454673]],[[1.01483466]],[[1.34704025]]
['RAB36'],[[1.89519493]],[[2.49614674]],[[2.3905574]],[[2.56769189]],[[2.53397657]],[[1.88846801]],[[1.40849802]],[[0.96583126]],[[1.3334354]],[[1.67126896]],[[1.08170932]],[[0.65348934]],[[1.17065135]]
['TSPO'],[[1.68216813]],[[2.26675629]],[[1.97173553]],[[2.18390167]],[[2.19252863]],[[2.47453697]],[[1.89644819]],[[1.54712775]],[[1.56898068]],[[1.66250418]],[[1.1595178]],[[0.99441743]],[[1.17069385]]
['NCF4'],[[1.95159325]],[[2.34081178]],[[2.24391732]],[[2.34946226]],[[2.38190807]],[[2.01191453]],[[1.82217281]],[[1.43875064]],[[1.56356447]],[[1.77472861]],[[1.2680165]],[[0.961022]],[[1.23577747]]
