['CFLAR'],[[1.61902662]],[[2.3388629]],[[2.3986757]],[[2.44218637]],[[2.20994448]],[[1.58649104]],[[1.7018169]],[[1.32007562]],[[1.08676072]],[[1.23269094]],[[0.96014506]],[[0.92896659]],[[0.9661144]]
['SKAP2'],[[1.78526918]],[[2.35723081]],[[2.5027575]],[[2.47743591]],[[2.24439696]],[[1.76039433]],[[1.71865618]],[[1.24632939]],[[1.22900395]],[[1.41950182]],[[1.04986595]],[[0.97297164]],[[1.0154555]]
['ABHD5'],[[2.33465572]],[[2.64837457]],[[2.7189347]],[[2.67942179]],[[2.40746141]],[[1.2970179]],[[1.38063984]],[[1.05114226]],[[1.06044889]],[[1.44278538]],[[1.05560022]],[[0.96175507]],[[1.05048423]]
['GAB2'],[[1.87379913]],[[2.33078665]],[[2.19715261]],[[2.29382979]],[[2.27250967]],[[1.61807802]],[[1.49304477]],[[1.16409984]],[[1.2030458]],[[1.516507]],[[1.14881804]],[[1.05634941]],[[1.10560375]]
['ZFYVE16'],[[1.72355899]],[[2.18038081]],[[2.56452771]],[[2.41682452]],[[2.17485512]],[[1.61785641]],[[1.79572662]],[[1.26404521]],[[1.08435218]],[[1.37043417]],[[1.08069689]],[[0.87969555]],[[1.06281537]]
['FAM184B'],[[1.17049076]],[[2.09590675]],[[2.24824271]],[[2.17930172]],[[1.50930155]],[[1.10981495]],[[1.3561762]],[[0.76733737]],[[0.82509615]],[[0.96920731]],[[0.8545129]],[[0.99650072]],[[0.96590886]]
['FAM160A2'],[[1.7109925]],[[1.78873251]],[[1.76040899]],[[1.85334229]],[[1.98856698]],[[1.31393541]],[[1.26148966]],[[0.94277328]],[[1.09281479]],[[1.21974186]],[[0.96457415]],[[0.90963013]],[[0.93666642]]
['EIF2AK2'],[[1.99155935]],[[2.62316828]],[[2.93943299]],[[2.87775285]],[[2.82642574]],[[1.64374829]],[[1.50723573]],[[1.21537846]],[[0.92596336]],[[1.28128916]],[[0.9877426]],[[1.78918537]],[[1.11904031]]
['TMCC3'],[[2.6027103]],[[2.55170549]],[[2.54490529]],[[2.58001217]],[[2.58358981]],[[1.55361256]],[[1.37680477]],[[1.00733068]],[[1.15523185]],[[1.69526891]],[[1.21822632]],[[1.04099477]],[[1.21167678]]
['ATP11B'],[[1.70859191]],[[2.520878]],[[2.82990184]],[[2.75437357]],[[2.53779575]],[[1.95178536]],[[1.81875603]],[[1.22906075]],[[1.04504637]],[[1.22949415]],[[1.02416347]],[[0.94251697]],[[0.99166478]]
['CDK14'],[[1.93136663]],[[2.08697111]],[[2.09453311]],[[1.99120333]],[[2.00829847]],[[1.22040151]],[[1.37419017]],[[0.99502089]],[[1.26522275]],[[1.50226676]],[[0.98185495]],[[0.79286871]],[[0.99038233]]
['YIPF1'],[[1.48227387]],[[2.69374447]],[[2.48914658]],[[2.6561037]],[[2.75159418]],[[2.0563321]],[[1.68979081]],[[1.47072394]],[[1.4114675]],[[1.56279895]],[[1.27928948]],[[1.09607774]],[[1.27392437]]
['MXD1'],[[2.08422806]],[[2.64614677]],[[2.80077287]],[[2.80934141]],[[2.75276651]],[[1.79773486]],[[1.76582933]],[[1.34573897]],[[1.2928152]],[[1.64514482]],[[1.25003851]],[[1.13527546]],[[1.17365089]]
['CTDP1'],[[1.90378929]],[[2.65502285]],[[2.54327363]],[[2.63151278]],[[1.96564589]],[[1.56335537]],[[1.1838355]],[[1.05362477]],[[0.95358869]],[[1.18652461]],[[0.89571546]],[[0.95716479]],[[0.94675033]]
['ELMO2'],[[1.35869047]],[[2.02806769]],[[1.94943595]],[[1.93594454]],[[2.03738709]],[[1.29944993]],[[1.09930378]],[[1.01062075]],[[1.02383976]],[[1.11323272]],[[0.94444109]],[[0.96926035]],[[0.95839354]]
