['FGR'],[[1.30826946]],[[2.05426296]],[[2.0052029]],[[2.16074752]],[[2.17966835]],[[1.96003734]],[[1.84908425]],[[1.28289097]],[[1.40760422]],[[1.64690989]],[[1.25550106]],[[1.08352695]],[[1.25084488]]
['LAMP2'],[[1.72305884]],[[2.04959456]],[[2.16555406]],[[2.11781414]],[[2.27547101]],[[1.58904694]],[[1.68541681]],[[1.28315596]],[[1.33596512]],[[1.66530052]],[[1.25541737]],[[1.03865671]],[[1.23369036]]
['KDM7A'],[[1.56007217]],[[1.67605542]],[[1.79015859]],[[1.71447022]],[[1.89845547]],[[1.49825021]],[[1.44151706]],[[1.13115979]],[[1.29772527]],[[1.56345058]],[[1.22690252]],[[0.9745798]],[[1.12919128]]
['IFRD1'],[[1.84287305]],[[1.87821234]],[[2.13852584]],[[2.0499611]],[[1.77235664]],[[1.41240124]],[[1.49630447]],[[1.08047154]],[[1.07121088]],[[1.33304517]],[[1.0429836]],[[0.94630133]],[[0.93584235]]
['CDKL5'],[[1.73038929]],[[1.96481659]],[[2.04776363]],[[2.08225296]],[[1.89952021]],[[1.59314071]],[[1.66344497]],[[1.25243051]],[[1.0217363]],[[1.27804345]],[[1.08255541]],[[0.98839263]],[[1.00963006]]
['TYROBP'],[[1.54720312]],[[1.92990682]],[[1.66254153]],[[1.82814249]],[[1.99359568]],[[1.65128486]],[[1.40873145]],[[1.28083936]],[[1.50883568]],[[1.75341624]],[[1.22795278]],[[1.14369908]],[[1.27951725]]
['SEMA3B'],[[1.69767176]],[[1.89113717]],[[1.76846635]],[[1.75172111]],[[1.77170136]],[[1.25689927]],[[1.48236615]],[[1.66108663]],[[1.77971917]],[[1.53941259]],[[0.93607639]],[[1.03203917]],[[1.06936873]]
['EXTL3'],[[2.0273194]],[[2.00823614]],[[1.94307702]],[[2.01156103]],[[1.85061391]],[[1.20790477]],[[1.21231514]],[[0.89001218]],[[1.01451705]],[[1.42189171]],[[0.99171386]],[[0.87037581]],[[0.99457687]]
['WAS'],[[1.58934465]],[[1.95771649]],[[1.73369494]],[[1.87691067]],[[1.9050458]],[[1.43259555]],[[1.29937157]],[[1.16749625]],[[1.26371034]],[[1.48541779]],[[1.16271862]],[[1.11582502]],[[1.15214471]]
['RTFDC1'],[[1.672678]],[[2.0539356]],[[1.90382161]],[[2.04254134]],[[2.10173027]],[[1.51041198]],[[1.3306059]],[[1.1639332]],[[1.24493198]],[[1.54744121]],[[1.18610574]],[[1.15242681]],[[1.18807139]]
['RRAGD'],[[2.05041416]],[[1.87358803]],[[1.79058075]],[[1.90966019]],[[2.25875267]],[[1.58903894]],[[1.7253116]],[[1.15822727]],[[1.59485986]],[[1.83960375]],[[1.3109139]],[[1.03780429]],[[1.24660985]]
['HMGB3'],[[0.93515936]],[[1.39008085]],[[1.96992366]],[[1.55797682]],[[1.99388581]],[[1.38326623]],[[1.62296625]],[[1.36942904]],[[1.3857549]],[[1.60210021]],[[0.94254323]],[[0.82701359]],[[1.11227821]]
['GRN'],[[1.49849398]],[[1.65177926]],[[1.44067572]],[[1.53245635]],[[1.94726464]],[[1.61452209]],[[1.52581565]],[[1.43680098]],[[1.58996321]],[[1.85870289]],[[1.27736123]],[[1.24949197]],[[1.25497672]]
