N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
2,0.1494649347624974,0.8342647867971249,0.1556188947242556,0.8295508529253312,0.0482069582390407,46
3,0.1486224617877294,0.8352905281763535,0.1559002508303064,0.8292175794114005,0.0532018190910041,46
4,0.1426356034081953,0.8425485732528338,0.1497156250882891,0.8366638295435533,0.0565710068238775,46
5,0.1337656823592481,0.853187141750091,0.1387256364833218,0.84970957383144,0.0582705773717049,46
6,0.1361124177201172,0.8503852693222184,0.1405087619475487,0.8476183569232479,0.0572566311315205,46
7,0.1305167776593769,0.8570509257193956,0.1362729829813918,0.8526002731339644,0.0576348623050852,46
8,0.1299986135056084,0.8576655759347389,0.1368740319769023,0.8518896432860541,0.0588474200065007,46
9,0.1250124964494707,0.8635576295817712,0.1301541499261363,0.8597726595124978,0.0612168958965728,46
10,0.1185300705224875,0.8711581656009502,0.125382427471611,0.8653154467139298,0.0620165489204642,46
20,0.0984218881643873,0.8943240456133912,0.1052060440450971,0.8883663677584095,0.0629495198867496,46
30,0.0859274277514051,0.908420857440534,0.0933841553743955,0.901599897611685,0.0670114530874721,46
40,0.0793022805394941,0.9158076413620466,0.0861060620945702,0.9096469647346724,0.067777930417653,46
50,0.0676255973765429,0.9286836592004912,0.0741814880604339,0.9226902497729484,0.0677547744538223,46
60,0.0656605675836477,0.9308330122316564,0.0733663536386247,0.9235801490779172,0.0696887528416961,46
70,0.063631782247915,0.9330469079263604,0.0725575570841951,0.9244546450324032,0.0702108255650212,46
80,0.0581292160093026,0.9390252613005892,0.0668481856154522,0.9306191663376536,0.0712147307830573,46
90,0.0545976898791392,0.9428421754620482,0.0630631357328178,0.9347132786594134,0.0702254475032516,46
100,0.0543564933076978,0.9431022997481308,0.064171661399026,0.9335136360004542,0.0710852628635253,46
150,0.0467540084261872,0.9512649337367832,0.0591996586343156,0.9388726786600212,0.0731290591746451,46
200,0.0420815945259361,0.9562470401606638,0.0578771885070792,0.940361521791348,0.0739675153248818,46
250,0.0393988536616382,0.9590959003345316,0.0589755814332913,0.9392136458218412,0.0745895187963123,46
300,0.0368417041288546,0.9618035371713364,0.0594377214411069,0.9388637738161576,0.0752638208754997,46
2,0.151994488401805,0.8315585404743507,0.1520914461739569,0.8323014507034449,0.0474008717962143,2
3,0.1462680571299262,0.8385186443888515,0.1488286342193387,0.8362491401838033,0.0523648820055883,2
4,0.1409130184078968,0.8449749935847677,0.1426700290194237,0.8436673997541572,0.0572511606142431,2
5,0.1344360417484138,0.852718592615411,0.1367775699795365,0.8506817334789559,0.0560384717980024,2
6,0.1364221213853825,0.8503514731803545,0.1375829257044369,0.8497251005417582,0.0606543856565859,2
7,0.1345550824900905,0.8525768157758002,0.1373251006998251,0.8500365897008477,0.0620495680220513,2
8,0.1276909688285825,0.860708816692455,0.1287819410140469,0.8601284262767005,0.06167721094922,2
9,0.1276138089105862,0.8607997688180244,0.1304331999179483,0.858182269876556,0.0607045043170755,2
10,0.1256132245141567,0.8631551851418968,0.1275166030450651,0.8616214098468362,0.0591313758037113,2
20,0.1020747062992334,0.8904011030345307,0.1043249804940388,0.888404965870851,0.064828403677276,2
30,0.0848534532943309,0.9098180646282206,0.0893712351203503,0.905234826957072,0.0678040016893267,2
40,0.0773005944919948,0.9182043974383588,0.0820366775711372,0.9133755048847992,0.0679781455890099,2
50,0.0709102329435105,0.9252405807178398,0.0781904235196855,0.9176402822994254,0.0674963482817001,2
60,0.0658658028170315,0.9307572456437988,0.0726135049205436,0.923751398251,0.0694262739670498,2
70,0.0594200614117182,0.937759177713582,0.0667035407307306,0.9301994107320836,0.070944362541438,2
80,0.0576353198164136,0.939688698891492,0.0647342136592859,0.9323169643498632,0.0714512166763633,2
90,0.0558543890317296,0.9416101590007222,0.0643798638483217,0.9327202784400884,0.0715242621400911,2
